row,col,SegNum,ReachNum,BC,width,cond,cond_total
37,173,1,1,STR,5,0.14902,0.14902
38,173,1,2,STR,5,0.39146,0.39146
38,174,1,3,STR,5,0.87571,0.87571
39,174,1,4,STR,5,0.17948,0.28421
39,175,1,5,STR,5,0.55527,0.92208004
39,184,2,1,STR,2,0.0042698,0.0042698
40,184,2,2,STR,2,0.0068777,0.5229677
41,184,2,3,STR,2,4.537e-4,0.7569277
47,108,3,1,STR,2,2.37e-4,0.383577
47,109,3,2,STR,2,0.0015163,0.0015163
48,109,3,3,STR,2,0.0017116,0.7033919
46,187,4,1,STR,2,0.004301,0.004301
46,188,4,2,STR,2,0.0044069,0.6004269
47,188,4,3,STR,2,0.0029511,0.1243139
47,116,5,1,STR,2,0.0030999,0.0030999
48,116,5,2,STR,2,0.0058916,0.14428161
48,117,5,3,STR,2,0.0031243,0.0031243
49,117,5,4,STR,2,0.0038545,1.0316745
48,205,6,1,STR,2,0.0017103,0.3562603
48,187,7,1,STR,2,8.841e-4,8.841e-4
48,188,7,2,STR,2,0.0011266,0.0081421
49,188,7,3,STR,2,0.0055628,0.0055628
48,188,7,4,STR,2,6.596e-4,0.0081421
48,189,7,5,STR,2,0.0034795,0.0034795
48,188,7,6,STR,2,0.0063559,0.0081421
47,188,7,7,STR,2,0.0042816,0.1243139
51,116,8,1,STR,2,0.0012465,0.0012465
51,117,8,2,STR,2,0.0031797,0.0031797
50,117,8,3,STR,2,0.0074448,0.0074448
50,118,8,4,STR,2,9.63e-4,9.63e-4
49,118,8,5,STR,2,0.002129,2.124579
48,222,9,1,STR,2,0.055107,0.055107
49,222,9,2,STR,2,0.12679,0.12679
50,222,9,3,STR,2,0.075386,0.075386
50,221,9,4,STR,2,0.0082169,0.16709991
49,221,10,1,STR,2,0.035499,0.035499
50,221,10,2,STR,2,0.1114,0.16709991
57,194,11,1,STR,2,0.0048756,0.0048756
57,195,11,2,STR,2,0.0069159,0.0069159
57,196,11,3,STR,2,0.0048027,0.6268327
58,196,11,4,STR,2,0.0017502,0.1465572
59,231,12,1,STR,2,0.10211,0.10211
60,231,12,2,STR,2,0.13076,0.13076
61,231,12,3,STR,2,0.033711,0.033711
61,230,12,4,STR,2,0.032039,0.165445
67,169,13,1,STR,2,2.205e-4,2.205e-4
68,169,13,2,STR,2,0.004802,0.004802
68,170,13,3,STR,2,0.0066515,0.0066515
69,170,13,4,STR,2,0.0032021,3.2002022
68,156,14,1,STR,2,0.0013384,0.0013384
68,157,14,2,STR,2,5.35e-5,5.35e-5
69,157,14,3,STR,2,0.0072743,1.5427343
68,150,15,1,STR,2,0.010846,0.010846
68,151,15,2,STR,2,5.931e-4,5.931e-4
69,151,15,3,STR,2,0.020876,0.020876
69,152,15,4,STR,2,0.0043989,0.0043989
70,152,15,5,STR,2,0.019439,1.911739
70,153,15,6,STR,2,0.0027992,0.0027992
71,153,15,7,STR,2,0.0038296,3.3949997
69,125,16,1,STR,2,0.0099505,0.0099505
69,126,16,2,STR,2,0.014641,0.014641
70,126,16,3,STR,2,0.0018679,0.0018679
70,127,16,4,STR,2,0.017952,0.017952
70,128,16,5,STR,2,0.016385,0.016385
71,128,16,6,STR,2,0.0023717,0.0023717
71,129,16,7,STR,2,0.01816,0.01816
71,130,16,8,STR,2,0.016532,0.016532
71,131,16,9,STR,2,0.016832,0.016832
71,132,16,10,STR,2,0.0075874,0.0075874
72,132,16,11,STR,2,0.0099797,0.0099797
72,133,16,12,STR,2,0.018225,0.018225
72,134,16,13,STR,2,0.01811,0.01811
72,135,16,14,STR,2,0.020498,0.020498
73,135,16,15,STR,2,0.0010498,0.0010498
73,136,16,16,STR,2,0.021036,0.021036
74,136,16,17,STR,2,0.0036319,4.6343317
68,231,17,1,STR,2,0.0059952,0.20234519
69,231,17,2,STR,2,0.0024454,1.5582625
69,232,18,1,STR,2,0.01222,0.0701143
70,232,18,2,STR,2,0.0060778,5.164818
69,236,19,1,STR,2,0.0018915,0.0018915
70,236,19,2,STR,2,0.0071157,0.0071157
71,236,19,3,STR,2,0.0067909,0.0067909
72,236,19,4,STR,2,0.0080871,0.0080871
73,236,19,5,STR,2,0.0041095,0.0041095
73,235,19,6,STR,2,0.0077416,0.0077416
73,234,19,7,STR,2,0.0014159,3.6070058
73,277,20,1,STR,2,0.014101,0.027404
74,277,20,2,STR,2,0.0047858,0.02587
75,117,21,1,STR,2,0.0082651,0.0082651
75,118,21,2,STR,2,0.0024384,0.0024384
76,118,21,3,STR,2,0.016698,0.016698
77,118,21,4,STR,2,0.016466,0.016466
78,118,21,5,STR,2,0.012418,2.1562145
78,119,21,6,STR,2,0.002759,0.002759
78,118,21,7,STR,2,0.0015026,2.1562145
73,123,22,1,STR,2,0.0030009,0.0030009
73,124,22,2,STR,2,0.0022667,0.0022667
74,124,22,3,STR,2,0.017017,0.017017
75,124,22,4,STR,2,0.017788000000000002,0.017788000000000002
76,124,22,5,STR,2,0.0044858,0.0044858
76,125,22,6,STR,2,0.012725,0.012725
77,125,22,7,STR,2,0.017962,0.017962
78,125,22,8,STR,2,0.011399,0.011399
78,126,22,9,STR,2,0.0082379,0.0082379
79,126,22,10,STR,2,0.011133,3.935033
79,127,22,11,STR,2,0.0075628,6.729963
74,284,23,1,STR,2,0.0041392,0.0041392
75,284,23,2,STR,2,0.011354,0.023033101
75,266,24,1,STR,2,0.017296,0.017296
76,266,24,2,STR,2,0.01632,0.01632
77,266,24,3,STR,2,0.016975,0.016975
78,266,24,4,STR,2,0.0017169,5.645387
75,258,25,1,STR,2,0.0097449,0.0097449
76,258,25,2,STR,2,0.016267,0.016267
77,258,25,3,STR,2,0.016222,0.016222
78,258,25,4,STR,2,0.021128,2.9462333
79,258,25,5,STR,2,1.812e-4,1.9277371
56,210,26,1,STR,2,2.991e-4,2.991e-4
57,210,26,2,STR,2,0.0069703,0.31984028
58,210,26,3,STR,2,9.269e-4,0.7473469
65,185,27,1,STR,2,0.008183,0.008183
66,185,27,2,STR,2,0.003746,0.003746
66,186,27,3,STR,2,0.0041304,0.0041304
67,186,27,4,STR,2,5.051e-4,3.8051744
67,185,27,5,STR,2,6.073e-4,1.9202511
67,186,27,6,STR,2,0.0020778,3.8051744
67,185,27,7,STR,2,6.738e-4,1.9202511
67,186,27,8,STR,2,0.0013216,3.8051744
74,292,28,1,STR,2,0.0041153,0.0041153
75,292,28,2,STR,2,0.0063932,0.0063932
76,292,28,3,STR,2,0.0066716,0.0066716
76,293,28,4,STR,2,1.563e-4,1.563e-4
77,293,28,5,STR,2,0.0066849,0.0066849
78,293,28,6,STR,2,0.0091769,0.0091769
78,294,28,7,STR,2,7.494e-4,7.494e-4
79,294,28,8,STR,2,9.715e-4,3.1625473
74,288,29,1,STR,2,2.35e-5,2.35e-5
75,288,29,2,STR,2,0.0017497,0.0017497
75,289,29,3,STR,2,0.0058672,0.0058672
76,289,29,4,STR,2,0.0078914,0.0078914
77,289,29,5,STR,2,0.0066362,0.0066362
78,289,29,6,STR,2,0.003066,3.2601662
78,290,29,7,STR,2,0.002848,3.456368
73,286,30,1,STR,2,5.9e-6,5.9e-6
74,286,30,2,STR,2,0.016886,0.016886
75,286,30,3,STR,2,0.018132,0.018132
76,286,30,4,STR,2,0.021491,0.021491
76,287,30,5,STR,2,7.935e-4,7.935e-4
77,287,30,6,STR,2,0.011633,0.022574
77,286,30,7,STR,2,0.0041698,0.0041698
78,286,30,8,STR,2,7.704e-4,7.704e-4
78,287,30,9,STR,2,0.0060259,0.0060619
77,287,30,10,STR,2,0.010941,0.022574
78,287,30,11,STR,2,3.6e-5,0.0060619
78,288,30,12,STR,2,0.027299,3.193399
81,224,31,1,STR,5,0.0010987,0.0010987
