SegNum,kstpkper,leakage_m3d,BC,WellNum,leakage_m3d_baseline,leakage_change_m3d
97,"(1, 872)",-0.002,STR,118,-0.002,0
177,"(1, 872)",0,STR,118,0,0
35,"(1, 923)",0.105,STR,118,0.105,0
230,"(1, 926)",1387.698,STR,118,1386.964,0.734
197,"(1, 931)",6410.028,STR,118,6407.581,2.447
205,"(1, 931)",1079.184,STR,118,1078.695,0.489
187,"(1, 935)",8592.373,STR,118,8589.927,2.447
192,"(1, 935)",2022.095,STR,118,2017.936,4.159
164,"(1, 936)",38.925,STR,118,38.803,0.122
182,"(1, 936)",355.977,STR,118,355.487,0.489
187,"(1, 936)",-39.243,STR,118,-41.225,1.982
197,"(1, 937)",2994.608,STR,118,2989.715,4.893
221,"(1, 938)",-592.316,STR,118,-593.784,1.468
225,"(1, 938)",1111.479,STR,118,1111.235,0.245
226,"(1, 938)",-1571.435,STR,118,-1573.637,2.202
61,"(1, 955)",4.203,STR,118,4.164,0.039
208,"(1, 955)",1926.923,STR,118,1915.424,11.499
61,"(1, 956)",0.432,STR,118,0.432,0
205,"(1, 956)",684.796,STR,118,684.552,0.245
206,"(1, 956)",172.459,STR,118,171.896,0.563
207,"(1, 956)",-663.267,STR,118,-663.511,0.245
182,"(1, 957)",1269.773,STR,118,1269.528,0.245
187,"(1, 957)",-194.307,STR,118,-194.331,0.024
13,"(1, 960)",3.198,STR,118,3.19,0.007
209,"(1, 960)",2040.689,STR,118,2037.263,3.425
210,"(1, 960)",9216.25,STR,118,9213.804,2.447
13,"(1, 961)",0.578,STR,118,0.576,0.002
209,"(1, 961)",390.229,STR,118,389.25,0.979
210,"(1, 961)",3376.274,STR,118,3373.828,2.447
213,"(1, 961)",1070.866,STR,118,1070.621,0.245
215,"(1, 961)",18080.193,STR,118,18077.747,2.447
13,"(1, 962)",-0.495,STR,118,-0.497,0.002
190,"(1, 962)",-29.31,STR,118,-29.408,0.098
209,"(1, 962)",-282.335,STR,118,-283.558,1.223
210,"(1, 962)",1115.394,STR,118,1114.66,0.734
215,"(1, 962)",8308.571,STR,118,8303.677,4.893
216,"(1, 963)",20289.451,STR,118,20287.004,2.447
