SP,capture_m3d_ADF,capture_m3d_modflow,WellNum
438,151.221,4.893,118
439,350.621,12.233,118
440,404.67699999999996,29.359,118
441,313.112,41.592,118
442,92.955,56.761,118
443,54.218,59.696,118
444,37.815999999999995,57.25,118
445,28.212,57.984,118
446,23.849,60.675,118
447,20.635,53.58,118
448,18.433,53.825,118
449,14.847999999999999,51.867,118
450,55.903,49.176,118
451,113.169,56.516,118
452,128.311,54.314,118
453,101.208,58.962,118
454,36.846,62.143,118
455,25.255,62.388,118
456,20.197,52.112,118
457,17.471,55.048,118
458,15.868,53.091,118
459,14.684,55.293,118
460,13.831,50.399,118
461,13.14,47.953,118
462,60.394999999999996,50.399,118
463,122.936,50.399,118
464,139.636,57.739,118
465,110.297,57.984,118
466,40.366,59.941,118
467,27.839,58.473,118
468,22.404,55.293,118
469,19.495,53.335,118
470,17.842,58.228,118
471,16.573999999999998,50.644,118
472,15.671,48.442,118
473,14.937,48.442,118
474,61.077,43.696,118
475,122.13199999999999,51.036,118
476,138.395,55.684,118
477,109.73599999999999,55.415,118
478,41.366,57.984,118
479,29.095,60.7,118
480,23.756,58.498,118
481,20.888,56.027,118
482,19.250999999999998,56.002,118
483,17.986,46.069,118
484,17.081,57.984,118
485,16.338,46.24,118
486,48.553,46.24,118
487,91.298,43.304,118
488,102.561,51.378,118
489,82.28800000000001,53.091,118
490,34.156,45.751,118
491,25.428,47.953,118
492,21.573,55.537,118
493,19.456,48.442,118
494,18.219,45.996,118
495,17.239,41.592,118
496,16.516,36.454,118
497,15.91,41.592,118
498,95.241,48.858,118
499,200.065,48.442,118
500,228.233,59.696,118
501,179.478,71.44,118
502,62.966,77.556,118
503,42.255,80.737,118
504,33.376,73.887,118
505,28.697,81.716,118
506,26.011,83.673,118
507,24.069,67.281,118
508,22.708,71.88,118
509,21.628,67.403,118
510,136.692,67.281,118
511,288.796,75.844,118
512,329.64000000000004,85.875,118
513,258.867,104.713,118
514,89.64,115.478,118
515,59.553000000000004,117.925,118
516,46.654,117.436,118
517,39.86,107.649,118
518,36.074999999999996,105.447,118
519,33.232,101.288,118
520,31.252,98.597,118
521,29.685000000000002,93.215,118
522,88.704,86.119,118
523,167.08499999999998,85.875,118
524,187.734,96.15,118
525,150.49,91.502,118
526,62.045,105.937,118
527,46,103.49,118
528,38.904,104.469,118
529,35.014,107.16,118
530,32.739,96.64,118
531,30.942,92.725,118
532,29.615000000000002,87.416,118
533,28.514,80.223,118
534,70.926,72.663,118
535,127.199,81.495,118
536,141.988,81.275,118
537,115.124,88.175,118
538,51.461,90.45,118
539,39.838,86.535,118
540,34.646,88.101,118
541,31.755,80.59,118
542,30.035,80.15,118
543,28.651,77.116,118
544,27.608,72.908,118
545,26.726,68.015,118
546,109.875,69.678,118
547,219.799,74.376,118
548,249.232,84.652,118
549,197.83100000000002,95.172,118
550,75.233,107.405,118
551,53.318,106.426,118
552,43.834,99.086,118
553,38.77,95.172,118
554,35.817,94.927,118
555,33.642,92.774,118
556,32.089999999999996,95.123,118
557,30.826999999999998,92.163,118
558,108.01,81.96,118
559,210.256,78.78,118
560,237.38299999999998,95.416,118
561,189.38,101.778,118
562,74.906,103.001,118
563,54.336,107.649,118
564,45.367000000000004,108.383,118
565,40.531,105.447,118
566,37.761,97.863,118
567,35.609,95.906,118
