SP,capture_m3d_ADF,capture_m3d_modflow,WellNum
438,145.464,4.893,118
439,337.272,12.233,118
440,389.27500000000003,29.359,118
441,301.226,41.592,118
442,89.52600000000001,56.761,118
443,52.385999999999996,59.696,118
444,36.763,57.25,118
445,28.397,57.984,118
446,23.973999999999997,60.675,118
447,20.771,53.58,118
448,18.605999999999998,53.825,118
449,16.740000000000002,51.867,118
450,70.917,49.176,118
451,143.277,56.516,118
452,162.291,54.314,118
453,127.81700000000001,58.962,118
454,46.183,62.143,118
455,31.400000000000002,62.388,118
456,24.898999999999997,52.112,118
457,21.354,55.048,118
458,19.227,53.091,118
459,17.602999999999998,55.293,118
460,16.396,50.399,118
461,15.379999999999999,47.953,118
462,75.083,50.399,118
463,154.141,50.399,118
464,175.15800000000002,57.739,118
465,137.891,57.984,118
466,49.247,59.941,118
467,33.324000000000005,58.473,118
468,26.395,55.293,118
469,22.663,53.335,118
470,20.515,58.228,118
471,18.826,50.644,118
472,17.585,48.442,118
473,16.55,48.442,118
474,74.869,43.696,118
475,152.071,51.036,118
476,172.555,55.684,118
477,136.171,55.415,118
478,49.52,57.984,118
479,33.941,60.7,118
480,27.149,58.498,118
481,23.482,56.027,118
482,21.366,56.002,118
483,19.698,46.069,118
484,18.469,57.984,118
485,17.438,46.24,118
486,58.134,46.24,118
487,112.16,43.304,118
488,126.32900000000001,51.378,118
489,100.577,53.091,118
490,39.556,45.751,118
491,28.459,47.953,118
492,23.542,55.537,118
493,20.828,48.442,118
494,19.221,45.996,118
495,17.926000000000002,41.592,118
496,16.949,36.454,118
497,16.114,41.592,118
498,116.499,48.858,118
499,249.174,48.442,118
500,284.781,59.696,118
501,222.998,71.44,118
502,75.449,77.556,118
503,49.25,80.737,118
504,38.051,73.887,118
505,32.160000000000004,81.716,118
506,28.756,83.673,118
507,26.256,67.281,118
508,24.462,71.88,118
509,22.99,67.403,118
510,168.586,67.281,118
511,361.075,75.844,118
512,412.68,85.875,118
513,322.968,104.713,118
514,108.625,115.478,118
515,70.539,117.925,118
516,54.236999999999995,117.436,118
517,45.653999999999996,107.649,118
518,40.832,105.447,118
519,37.146,101.288,118
520,34.506,98.597,118
521,32.347,93.215,118
522,106.897,86.119,118
523,205.94799999999998,85.875,118
524,231.893,96.15,118
525,184.555,91.502,118
526,72.404,105.937,118
527,51.974,103.49,118
528,42.9,104.469,118
529,37.881,107.16,118
530,34.907000000000004,96.64,118
531,32.504,92.725,118
532,30.696,87.416,118
533,29.147000000000002,80.223,118
534,82.705,72.663,118
535,153.817,81.495,118
536,172.404,81.275,118
537,138.267,88.175,118
538,57.556,90.45,118
539,42.775,86.535,118
540,36.152,88.101,118
541,32.446,80.59,118
542,30.221,80.15,118
543,28.398,77.116,118
544,27.004,72.908,118
545,25.8,68.015,118
546,131.012,69.678,118
547,270.132,74.376,118
548,307.328,84.652,118
549,242.184,95.172,118
550,86.923,107.405,118
551,59.2,106.426,118
552,47.241,99.086,118
553,40.867999999999995,95.172,118
554,37.133,94.927,118
555,34.343,92.774,118
556,32.308,95.123,118
557,30.614,92.163,118
558,128.24599999999998,81.96,118
559,257.606,78.78,118
560,291.849,95.416,118
561,230.97299999999998,101.778,118
562,85.956,103.001,118
563,59.896,107.649,118
564,48.546,108.383,118
565,42.424,105.447,118
566,38.888,97.863,118
567,36.102000000000004,95.906,118
568,34.047,91.453,118
569,32.324,86.119,118
570,100.808,85.875,118
571,191.733,84.407,118
572,215.545,86.902,118
573,172.233,101.631,118
574,69.553,105.447,118
575,50.878,103.49,118
576,42.599999999999994,99.576,118
577,38.026,101.778,118
578,35.317,89.3,118
579,33.127,92.481,118
580,31.475,93.949,118
581,30.059,79.269,118
582,112.516,81.716,118
583,221.768,80.615,118
584,250.64399999999998,88.811,118
585,199.127,98.108,118
586,76.606,98.108,118
587,54.544,95.172,118
588,44.903,87.587,118
589,39.674,95.392,118
590,36.637,90.328,118
591,34.231,88.077,118
592,32.442,83.404,118
593,30.933,85.508,118
594,189.58,80.492,118
595,399.4,95.906,118
596,455.542,104.224,118
597,357.836,120.616,118
598,124.248,132.604,118
599,82.715,137.987,118
600,64.915,130.402,118
601,55.519999999999996,132.604,118
602,50.071999999999996,128.69,118
603,46.052,120.372,118
604,43.152,116.457,118
605,40.766,110.096,118
606,964.814,132.311,118
607,2184.5139999999997,200.13,118
608,2513.9089999999997,309.908,118
609,1951.808,410.875,118
610,603.171,472.923,118
611,366.053,508.398,118
612,266.239,504.973,118
613,214.87800000000001,494.208,118
614,186.823,473.902,118
615,166.008,457.999,118
616,151.57,439.16,118
617,140.108,413.961,118
618,693.9350000000001,400.26,118
619,1428.0040000000001,436.224,118
620,1623.127,478.844,118
621,1276.393,524.228,118
622,451.977,537.88,118
623,303.812,545.097,118
624,239.345,535.8,118
625,204.65,514.026,118
626,184.693,501.548,118
627,169.06,472.923,118
628,157.606,453.595,118
629,148.062,428.885,118
630,1029.028,423.013,118
631,2194.0930000000003,479.773,118
632,2505.3779999999997,561.286,118
633,1962.472,653.796,118
634,663.8080000000001,697.323,118
635,432.71,718.315,118
636,333.573,700.43,118
637,281.19,681.224,118
638,251.658,656.906,118
639,228.985,635.865,118
640,212.683,605.038,118
641,199.311,564.914,118
642,713.514,554.883,118
643,1395.9089999999999,567.606,118
644,1575.768,610.91,118
645,1250.282,644.844,118
646,479.448,657.884,118
647,339.504,655.682,118
648,277.665,634.397,118
649,243.684,619.962,118
650,223.082,589.869,118
651,207.187,572.009,118
652,195.242,544.118,118
653,185.07,515.249,118
654,659.634,497.389,118
655,1289.234,520.387,118
656,1454.92,554.639,118
657,1156.183,587.056,118
658,447.504,608.219,118
659,319.176,606.751,118
660,262.646,591.337,118
661,231.684,577.147,118
662,213.50799999999998,549.99,118
663,198.958,525.769,118
664,188.057,506.686,118
665,178.787,480.752,118
666,1101.61,483.933,118
667,2321.505,550.235,118
668,2648.415,638.703,118
669,2078.8469999999998,730.009,118
670,719.745,776.543,118
671,477.829,796.116,118
672,373.995,800.03,118
673,319.067,765.289,118
674,288.046,737.643,118
675,264.17199999999997,722.474,118
676,246.954,676.723,118
677,232.78199999999998,651.523,118
678,1321.9209999999998,639.78,118
679,2762.7030000000004,697.274,118
680,3146.771,802.232,118
681,2472.6530000000002,913.111,118
682,864.1450000000001,968.501,118
683,577.074,982.055,118
684,453.386,968.404,118
685,387.628,941.198,118
686,350.295,913.796,118
687,321.407,874.161,118
688,300.473,827.921,118
689,283.174,787.797,118
690,1307.202,781.192,118
691,2663.806,823.224,118
692,3023.824,911.132,118
693,2385.4570000000003,1006.35,118
694,865.756,1054.496,118
695,593.0169999999999,1056.064,118
696,474.505,1039.746,118
697,410.778,1006.521,118
698,373.047,973.982,118
699,344.61,930.433,118
700,323.68199999999996,890.553,118
701,306.165,843.09,118
702,2055.195,854.833,118
703,4367.218,959.302,118
704,4986.258000000001,1133.009,118
705,3908.0879999999997,1310.807,118
706,1333.145,1404.824,118
707,875.222,1435.039,118
708,678.976,1421.436,118
709,575.406,1381.899,118
710,517.085,1335.341,118
711,472.34900000000005,1273.932,118
712,440.21,1213.991,118
713,413.848,1157.964,118
714,2007.688,1146.955,118
715,4118.865,1222.798,118
716,4680.597000000001,1362.816,118
717,3687.5950000000003,1504.889,118
718,1323.363,1578.995,118
719,899.499,1594.923,118
720,715.629,1569.723,118
721,616.991,1515.042,118
722,560.42,1462.881,118
723,516.1990000000001,1393.325,118
724,483.831,1336.809,118
725,456.857,1266.837,118
726,3123.2870000000003,1282.984,118
727,6649.581,1443.964,118
728,7593.353999999999,1707.808,118
729,5950.057,1977.516,118
730,2022.883,2125.908,118
731,1324.565,2166.518,118
732,1025.346,2149.781,118
733,867.47,2089.275,118
734,778.602,2019.722,118
735,710.468,1930.644,118
736,661.542,1836.033,118
737,621.433,1755.173,118
738,2588.564,1710.89,118
739,5196.106,1789.156,118
740,5885.429,1954.476,118
741,4652.273,2120.051,118
742,1722.965,2195.117,118
743,1195.061,2202.897,118
744,964.2869999999999,2159.859,118
745,839.227,2083.063,118
746,764.541,2006.828,118
747,707.772,1920.342,118
748,665.672,1831.409,118
749,630.209,1743.601,118
750,2606.498,1722.218,118
751,5225.723,1800.91,118
752,5919.89,1961.836,118
753,4684.174,2130.184,118
754,1745.473,2213.309,118
755,1216.55,2220.957,118
756,985.6690000000001,2177.11,118
757,860.7370000000001,2114.064,118
758,788.367,2037.851,118
759,731.199,1950.068,118
760,688.912,1866.419,118
761,653.342,1782.621,118
762,2224.02,1736.286,118
763,4308.251,1788.74,118
764,4856.416,1913.203,118
