SP,capture_m3d_ADF,capture_m3d_modflow,WellNum
438,185.971,4.893,118
439,431.19,12.233,118
440,497.627,29.359,118
441,384.839,41.592,118
442,113.616,56.761,118
443,65.21000000000001,59.696,118
444,44.047,57.25,118
445,32.571000000000005,57.984,118
446,26.019000000000002,60.675,118
447,21.048000000000002,53.58,118
448,17.614,53.825,118
449,14.966,51.867,118
450,89.921,49.176,118
451,189.81,56.516,118
452,216.013,54.314,118
453,168.25,58.962,118
454,55.166000000000004,62.143,118
455,34.41,62.388,118
456,25.01,52.112,118
457,19.707,55.048,118
458,16.464000000000002,53.091,118
459,14.005999999999998,55.293,118
460,12.235000000000001,50.399,118
461,10.816,47.953,118
462,93.44,50.399,118
463,202.885,50.399,118
464,232.08599999999998,57.739,118
465,180.62,57.984,118
466,57.96,59.941,118
467,35.692,58.473,118
468,25.732999999999997,55.293,118
469,20.185,53.335,118
470,16.927,58.228,118
471,14.382000000000001,50.644,118
472,12.569,48.442,118
473,11.126999999999999,48.442,118
474,91.842,43.696,118
475,198.734,51.036,118
476,227.20600000000002,55.684,118
477,176.98,55.415,118
478,57.092999999999996,57.984,118
479,35.324,60.7,118
480,25.586,58.498,118
481,20.158,56.027,118
482,16.97,56.002,118
483,14.477,46.069,118
484,12.699,57.984,118
485,11.284,46.24,118
486,67.648,46.24,118
487,142.502,43.304,118
488,162.26500000000001,51.378,118
489,126.782,53.091,118
490,42.436,45.751,118
491,27.013,47.953,118
492,20.05,55.537,118
493,16.128,48.442,118
494,13.799,45.996,118
495,11.96,41.592,118
496,10.633000000000001,36.454,118
497,9.565,41.592,118
498,148.527,48.858,118
499,332.185,48.442,118
500,381.593,59.696,118
501,296.19,71.44,118
502,91.908,77.556,118
503,55.149,80.737,118
504,38.899,73.887,118
505,29.967000000000002,81.716,118
506,24.641000000000002,83.673,118
507,20.7,67.281,118
508,17.924999999999997,71.88,118
509,15.746,67.403,118
510,217.08200000000002,67.281,118
511,483.366,75.844,118
512,554.837,85.875,118
513,430.721,104.713,118
514,133.875,115.478,118
515,80.366,117.925,118
516,56.659,117.436,118
517,43.601,107.649,118
518,36.023,105.447,118
519,30.174999999999997,101.288,118
520,26.058,98.597,118
521,22.826,93.215,118
522,125.871,86.119,118
523,262.945,85.875,118
524,299.001,96.15,118
525,233.675,91.502,118
526,78.569,105.937,118
527,50.108,103.49,118
528,37.206,104.469,118
529,29.912000000000003,107.16,118
530,25.567,96.64,118
531,22.125,92.725,118
532,19.637,87.416,118
533,17.633000000000003,80.223,118
534,91.92599999999999,72.663,118
535,190.571,81.495,118
536,216.609,81.275,118
537,169.67999999999998,88.175,118
538,58.221000000000004,90.45,118
539,37.777,86.535,118
540,28.505,88.101,118
541,23.253,80.59,118
542,20.118000000000002,80.15,118
543,17.624,77.116,118
544,15.814,72.908,118
545,14.349,68.015,118
546,160.108,69.678,118
547,352.81,74.376,118
548,404.558,84.652,118
549,314.639,95.172,118
550,99.81599999999999,107.405,118
551,61.050999999999995,106.426,118
552,43.846000000000004,99.086,118
553,34.342,95.172,118
554,28.645,94.927,118
555,24.404,92.774,118
556,21.399,95.123,118
557,19.023999999999997,92.163,118
558,154.139,81.96,118
559,333.236,78.78,118
560,380.832,95.416,118
561,296.79,101.778,118
562,96.15299999999999,103.001,118
563,59.745,107.649,118
564,43.47,108.383,118
565,34.409,105.447,118
566,29.093,97.863,118
567,24.941,95.906,118
568,21.982,91.453,118
569,19.63,86.119,118
570,114.49000000000001,85.875,118
571,240.486,84.407,118
572,273.71099999999996,86.902,118
573,214.04999999999998,101.631,118
574,72.134,105.447,118
575,46.193,103.49,118
576,34.486,99.576,118
577,27.896,101.778,118
578,23.983,89.3,118
579,20.894000000000002,92.481,118
580,18.665,93.949,118
581,16.872,79.269,118
582,131.148,81.716,118
583,282.549,80.615,118
584,322.812,88.811,118
585,251.798,98.108,118
586,82.39,98.108,118
587,51.657000000000004,95.172,118
588,37.916999999999994,87.587,118
589,30.266,95.392,118
590,25.772000000000002,90.328,118
591,22.258000000000003,88.077,118
592,19.749,83.404,118
593,17.751,85.508,118
594,237.339,80.492,118
595,527.7769999999999,95.906,118
596,605.6890000000001,104.224,118
597,470.64300000000003,120.616,118
598,147.269,132.604,118
599,89.02499999999999,137.987,118
600,63.242999999999995,130.402,118
601,49.049,132.604,118
602,40.572,128.69,118
603,34.289,120.372,118
604,29.857,116.457,118
605,26.372,110.096,118
606,1304.308,132.311,118
607,2991.259,200.13,118
608,3446.759,309.908,118
609,2668.174,410.875,118
610,799.3009999999999,472.923,118
611,464.88800000000003,508.398,118
612,318.17,504.973,118
613,238.277,494.208,118
614,192.46900000000002,473.902,118
615,157.552,457.999,118
616,133.301,439.16,118
617,114.51400000000001,413.961,118
618,878.7800000000001,400.26,118
619,1893.2009999999998,436.224,118
620,2162.83,478.844,118
621,1682.856,524.228,118
622,541.0889999999999,537.88,118
623,333.123,545.097,118
624,239.785,535.8,118
625,187.633,514.026,118
626,156.944,501.548,118
627,132.938,472.923,118
628,115.811,453.595,118
629,102.196,428.885,118
630,1320.843,423.013,118
631,2932.9429999999998,479.773,118
632,3364.4179999999997,561.286,118
633,2613.627,653.796,118
634,815.4,697.323,118
635,491.00600000000003,718.315,118
636,347.112,700.43,118
637,267.728,681.224,118
638,221.582,656.906,118
639,185.901,635.865,118
640,160.73499999999999,605.038,118
641,140.939,564.914,118
642,851.898,554.883,118
643,1796.327,567.606,118
644,2046.2549999999999,610.91,118
645,1597.0169999999998,644.844,118
646,530.7950000000001,657.884,118
647,335.659,655.682,118
648,247.495,634.397,118
649,197.832,619.962,118
650,167.476,589.869,118
651,144.446,572.009,118
652,127.82600000000001,544.118,118
653,114.464,515.249,118
654,772.072,497.389,118
655,1644.602,520.387,118
656,1875.753,554.639,118
657,1464.135,587.056,118
658,484.454,608.219,118
659,305.94899999999996,606.751,118
660,225.705,591.337,118
661,180.72899999999998,577.147,118
662,154.147,549.99,118
663,133.237,525.769,118
664,118.216,506.686,118
665,106.179,480.752,118
666,1383.7189999999998,483.933,118
667,3072.564,550.235,118
668,3526.45,638.703,118
669,2739.427,730.009,118
670,858.103,776.543,118
671,519.035,796.116,118
672,368.81100000000004,800.03,118
673,286.031,765.289,118
674,237.95600000000002,737.643,118
675,200.809,722.474,118
676,174.62,676.723,118
677,154.02,651.523,118
678,1660.425,639.78,118
679,3654.032,697.274,118
680,4186.56,802.232,118
681,3254.588,913.111,118
682,1027.705,968.501,118
683,625.1880000000001,982.055,118
684,446.205,968.404,118
685,347.18899999999996,941.198,118
686,289.472,913.796,118
687,244.716,874.161,118
688,213.055,827.921,118
689,188.072,787.797,118
690,1604.592,781.192,118
691,3482.131,823.224,118
692,3981.895,911.132,118
693,3100.015,1006.35,118
694,996.856,1054.496,118
695,615.27,1056.064,118
696,444.754,1039.746,118
697,349.87899999999996,1006.521,118
698,292.60200000000003,973.982,118
699,249.674,930.433,118
700,219.06699999999998,890.553,118
701,194.73899999999998,843.09,118
702,2614.7270000000003,854.833,118
703,5814.313999999999,959.302,118
704,6672.711,1133.009,118
705,5181.959,1310.807,118
706,1616.721,1404.824,118
707,974.1,1435.039,118
708,689.3829999999999,1421.436,118
709,532.515,1381.899,118
710,441.448,1335.341,118
711,371.119,1273.932,118
712,321.576,1213.991,118
713,282.643,1157.964,118
714,2486.643,1146.955,118
715,5407.809,1222.798,118
716,6186.922,1362.816,118
717,4814.545,1504.889,118
718,1542.0439999999999,1578.995,118
719,948.4899999999999,1594.923,118
720,683.3910000000001,1569.723,118
