SP,capture_m3d_ADF,capture_m3d_modflow,WellNum
438,151.221,4.893,118
439,350.621,12.233,118
440,404.67699999999996,29.359,118
441,313.112,41.592,118
442,92.955,56.761,118
443,54.218,59.696,118
444,37.815999999999995,57.25,118
445,29.282999999999998,57.984,118
446,24.575,60.675,118
447,21.065,53.58,118
448,18.642,53.825,118
449,16.743,51.867,118
450,77.837,49.176,118
451,159.13299999999998,56.516,118
452,180.46599999999998,54.314,118
453,141.661,58.962,118
454,49.805,62.143,118
455,33.106,62.388,118
456,25.698,52.112,118
457,21.608999999999998,55.048,118
458,19.13,53.091,118
459,17.234,55.293,118
460,15.831,50.399,118
461,14.661999999999999,47.953,118
462,81.791,50.399,118
463,170.704,50.399,118
464,194.35399999999998,57.739,118
465,152.45499999999998,57.984,118
466,52.759,59.941,118
467,34.802,58.473,118
468,26.928,55.293,118
469,22.637,53.335,118
470,20.143,58.228,118
471,18.179,50.644,118
472,16.741,48.442,118
473,15.552,48.442,118
474,81.13,43.696,118
475,167.959,51.036,118
476,191.014,55.684,118
477,150.114,55.415,118
478,52.661,57.984,118
479,35.098,60.7,118
480,27.388,58.498,118
481,23.179,56.027,118
482,20.727,56.002,118
483,18.792,46.069,118
484,17.373,57.984,118
485,16.197000000000003,46.24,118
486,61.964,46.24,118
487,122.73400000000001,43.304,118
488,138.694,51.378,118
489,109.757,53.091,118
490,41.148,45.751,118
491,28.656000000000002,47.953,118
492,23.091,55.537,118
493,19.997999999999998,48.442,118
494,18.159,45.996,118
495,16.677999999999997,41.592,118
496,15.572,36.454,118
497,14.64,41.592,118
498,127.547,48.858,118
499,276.776,48.442,118
500,316.85,59.696,118
501,247.385,71.44,118
502,81.424,77.556,118
503,51.865,80.737,118
504,39.114,73.887,118
505,32.31,81.716,118
506,28.328,83.673,118
507,25.382,67.281,118
508,23.269,71.88,118
509,21.552,67.403,118
510,185.25,67.281,118
511,401.709,75.844,118
512,459.749,85.875,118
513,358.851,104.713,118
514,117.736,115.478,118
515,74.741,117.925,118
516,56.166,117.436,118
517,46.23800000000001,107.649,118
518,40.587,105.447,118
519,36.232,101.288,118
520,33.112,98.597,118
521,30.582,93.215,118
522,114.36500000000001,86.119,118
523,225.737,85.875,118
524,254.924,96.15,118
525,201.70499999999998,91.502,118
526,75.58,105.937,118
527,52.559999999999995,103.49,118
528,42.277,104.469,118
529,36.543,107.16,118
530,33.128,96.64,118
531,30.374000000000002,92.725,118
532,28.316000000000003,87.416,118
533,26.58,80.223,118
534,86.839,72.663,118
535,166.856,81.495,118
536,187.81900000000002,81.275,118
537,149.488,88.175,118
538,58.762,90.45,118
539,42.146,86.535,118
540,34.678,88.101,118
541,30.478,80.59,118
542,27.951999999999998,80.15,118
543,25.895,77.116,118
544,24.34,72.908,118
545,23.014,68.015,118
546,141.37699999999998,69.678,118
547,297.88,74.376,118
548,339.77299999999997,84.652,118
549,266.562,95.172,118
550,91.958,107.405,118
551,60.71,106.426,118
552,47.129,99.086,118
553,39.808,95.172,118
554,35.473,94.927,118
555,32.226,92.774,118
556,29.865,95.123,118
557,27.926,92.163,118
558,137.714,81.96,118
559,283.208,78.78,118
560,321.75399999999996,95.416,118
561,253.326,101.778,118
562,90.23899999999999,103.001,118
563,60.867000000000004,107.649,118
564,47.985,108.383,118
