SP,capture_m3d_ADF,capture_m3d_modflow,WellNum
439,0.101,12.233,118
440,1.221,29.359,118
441,4.752,41.592,118
442,11.439,56.761,118
443,19.587,59.696,118
444,27.264,57.25,118
445,32.642,57.984,118
446,35.529,60.675,118
447,37.068,53.58,118
448,37.416,53.825,118
449,37.02,51.867,118
450,36.185,49.176,118
451,35.092,56.516,118
452,34.273,54.314,118
453,34.431,58.962,118
454,35.84,62.143,118
455,37.918,62.388,118
456,39.798,52.112,118
457,40.779,55.048,118
458,40.894,53.091,118
459,40.383,55.293,118
460,39.481,50.399,118
461,38.301,47.953,118
462,37.03,50.399,118
463,35.706,50.399,118
464,34.833,57.739,118
465,35.112,57.984,118
466,36.809,59.941,118
467,39.256,58.473,118
468,41.507,55.293,118
469,42.782,53.335,118
470,43.098,58.228,118
471,42.757,50.644,118
472,41.966,48.442,118
473,40.861,48.442,118
474,39.637,43.696,118
475,38.34,51.036,118
476,37.471,55.684,118
477,37.718,55.415,118
478,39.343,57.984,118
479,41.698,60.7,118
480,43.856,58.498,118
481,45.06,56.027,118
482,45.329,56.002,118
483,44.95,46.069,118
484,44.134,57.984,118
485,43.009,46.24,118
486,41.768,46.24,118
487,40.444,43.304,118
488,39.414,51.378,118
489,39.186,53.091,118
490,39.922,45.751,118
491,41.196,47.953,118
492,42.334,55.537,118
493,42.818,48.442,118
494,42.694,45.996,118
495,42.097,41.592,118
496,41.218,36.454,118
497,40.127,41.592,118
498,38.979,48.858,118
499,37.83,48.442,118
500,37.444,59.696,118
501,38.932,71.44,118
502,42.787,77.556,118
503,47.82,80.737,118
504,52.508,73.887,118
505,55.516,81.716,118
506,56.818,83.673,118
507,56.997,67.281,118
508,56.368,71.88,118
509,55.202,67.403,118
510,53.778,67.281,118
511,52.256,75.844,118
512,51.774,85.875,118
513,53.968,104.713,118
514,59.575,115.478,118
515,66.878,117.925,118
516,73.672,117.436,118
517,78.024,107.649,118
518,79.865,105.447,118
519,80.159,101.288,118
520,79.264,98.597,118
521,77.58,93.215,118
522,75.518,86.119,118
523,73.208,85.875,118
524,71.371,96.15,118
525,70.967,91.502,118
526,72.31,105.937,118
527,74.629,103.49,118
528,76.692,104.469,118
529,77.55,107.16,118
530,77.296,96.64,118
531,76.173,92.725,118
532,74.536,87.416,118
533,72.512,80.223,118
534,70.386,72.663,118
535,68.165,81.495,118
536,66.359,81.275,118
537,65.65,88.175,118
538,66.223,90.45,118
539,67.54,86.535,118
540,68.685,88.101,118
541,68.984,80.59,118
542,68.529,80.15,118
543,67.433,77.116,118
544,65.988,72.908,118
545,64.267,68.015,118
546,62.492,69.678,118
547,60.698,74.376,118
548,59.718,84.652,118
549,60.739,95.172,118
550,64.25,107.405,118
551,69.035,106.426,118
552,73.462,99.086,118
553,76.146,95.172,118
554,77.086,94.927,118
555,76.836,92.774,118
556,75.769,95.123,118
557,74.142,92.163,118
558,72.274,81.96,118
559,70.265,78.78,118
560,68.946,95.416,118
561,69.474,101.778,118
562,72.296,103.001,118
563,76.322,107.649,118
564,80.009,108.383,118
565,82.086,105.447,118
566,82.584,97.863,118
567,81.994,95.906,118
568,80.662,91.453,118
569,78.806,86.119,118
570,76.751,85.875,118
571,74.55,84.407,118
572,72.838,86.902,118
573,72.47,101.631,118
574,73.72,105.447,118
575,75.871,103.49,118
576,77.789,99.576,118
577,78.601,101.778,118
578,78.389,89.3,118
579,77.377,92.481,118
580,75.888,93.949,118
581,74.038,79.269,118
582,72.09,81.716,118
583,70.073,80.615,118
584,68.684,88.811,118
585,68.894,98.108,118
586,71.058,98.108,118
587,74.263,95.172,118
588,77.187,87.587,118
589,78.763,95.392,118
590,79.029,90.328,118
591,78.367,88.077,118
592,77.089,83.404,118
593,75.37,85.508,118
594,73.491,80.492,118
595,71.566,95.906,118
596,70.821,104.224,118
597,73.029,120.616,118
598,78.971,132.604,118
599,86.777,137.987,118
600,94.033,130.402,118
601,98.634,132.604,118
602,100.548,128.69,118
603,100.679,120.372,118
604,99.541,116.457,118
605,97.552,110.096,118
606,95.166,132.311,118
607,93.146,200.13,118
608,98.029,309.908,118
609,119.598,410.875,118
610,162.849,472.923,118
611,216.33,508.398,118
612,266.57,504.973,118
613,301.094,494.208,118
614,318.805,473.902,118
615,327.101,457.999,118
616,327.381,439.16,118
617,322.572,413.961,118
618,314.907,400.26,118
619,305.635,436.224,118
620,299.7,478.844,118
621,303.86,524.228,118
622,320.875,537.88,118
623,344.576,545.097,118
624,366.305,535.8,118
625,378.847,514.026,118
626,382.329,501.548,118
627,379.701,472.923,118
628,372.839,453.595,118
629,363.043,428.885,118
630,352.102,423.013,118
631,340.748,479.773,118
632,335.91,561.286,118
633,347.511,653.796,118
634,379.879,697.323,118
635,422.691,718.315,118
636,462.496,700.43,118
637,487.625,681.224,118
638,497.745,656.906,118
639,498.473,635.865,118
640,492.112,605.038,118
641,481.01,564.914,118
642,467.712,554.883,118
643,452.989,567.606,118
644,441.667,610.91,118
645,440.219,644.844,118
646,450.855,657.884,118
647,468.146,655.682,118
648,483.684,634.397,118
649,490.889,619.962,118
650,490.146,589.869,118
651,483.454,572.009,118
652,473.2,544.118,118
653,460.31,515.249,118
654,446.667,497.389,118
655,432.445,520.387,118
656,421.847,554.639,118
657,420.631,587.056,118
658,430.709,608.219,118
659,446.988,606.751,118
660,461.703,591.337,118
661,468.755,577.147,118
662,468.554,549.99,118
663,462.925,525.769,118
664,453.912,506.686,118
665,442.408,480.752,118
666,430.137,483.933,118
667,417.652,550.235,118
668,412.133,638.703,118
669,423.91499999999996,730.009,118
670,457.46299999999997,776.543,118
671,501.964,796.116,118
672,543.294,800.03,118
673,569.241,765.289,118
674,579.491,737.643,118
675,579.85,722.474,118
676,572.776,676.723,118
677,560.704,651.523,118
678,546.328,639.78,118
679,530.841,697.274,118
680,523.069,802.232,118
681,535.518,913.111,118
682,573.5129999999999,968.501,118
683,624.4649999999999,982.055,118
684,671.621,968.404,118
685,700.6339999999999,941.198,118
686,711.3059999999999,913.796,118
687,710.2049999999999,874.161,118
688,700.447,827.921,118
689,684.8199999999999,787.797,118
690,666.5949999999999,781.192,118
691,646.9019999999999,823.224,118
692,634.419,911.132,118
693,641.236,1006.35,118
694,672.126,1054.496,118
695,715.5759999999999,1056.064,118
696,755.4929999999999,1039.746,118
697,778.511,1006.521,118
698,784.846,973.982,118
699,779.529,930.433,118
700,766.5,890.553,118
701,748.087,843.09,118
702,727.578,854.833,118
703,706.376,959.302,118
704,698.103,1133.009,118
705,722.358,1310.807,118
706,787.7779999999999,1404.824,118
707,873.7879999999999,1435.039,118
708,953.76,1421.436,118
709,1004.515,1381.899,118
710,1025.321,1335.341,118
711,1027.485,1273.932,118
712,1015.475,1213.991,118
713,993.998,1157.964,118
714,968.0730000000001,1146.955,118
715,939.6980000000001,1222.798,118
716,922.346,1362.816,118
717,934.806,1504.889,118
718,984.662,1578.995,118
719,1053.9019999999998,1594.923,118
720,1117.61,1569.723,118
721,1154.9379999999999,1515.042,118
722,1166.077,1462.881,118
723,1159.6989999999998,1393.325,118
724,1141.013,1336.809,118
725,1113.812,1266.837,118
726,1083.163,1282.984,118
727,1051.33,1443.964,118
728,1039.1109999999999,1707.808,118
729,1076.4219999999998,1977.516,118
730,1176.482,2125.908,118
731,1307.9119999999998,2166.518,118
732,1430.135,2149.781,118
733,1507.7959999999998,2089.275,118
734,1539.7579999999998,2019.722,118
735,1543.3139999999999,1930.644,118
736,1525.245,1836.033,118
737,1492.7479999999998,1755.173,118
738,1453.4599999999998,1710.89,118
739,1410.0939999999998,1789.156,118
740,1380.029,1954.476,118
741,1387.1000000000001,2120.051,118
742,1440.3090000000002,2195.117,118
743,1518.015,2202.897,118
744,1588.9150000000002,2159.859,118
745,1627.519,2083.063,118
746,1634.612,2006.828,118
747,1619.188,1920.342,118
748,1589.346,1831.409,118
749,1549.249,1743.601,118
750,1505.5140000000001,1722.218,118
751,1459.5030000000002,1800.91,118
752,1428.102,1961.836,118
753,1434.756,2130.184,118
754,1488.1670000000001,2213.309,118
755,1566.431,2220.957,118
756,1638.0240000000001,2177.11,118
757,1677.27,2114.064,118
758,1685,2037.851,118
759,1670.644,1950.068,118
760,1641.507,1866.419,118
761,1601.8770000000002,1782.621,118
762,1558.4060000000002,1736.286,118
763,1512.2160000000001,1788.74,118
764,1477.451,1913.203,118
765,1473.3790000000001,2041.533,118
766,1506.468,2091.45,118
767,1559.9450000000002,2075.117,118
768,1608.121,2038.218,118
769,1630.843,1968.49,118
770,1629.566,1896.854,118
771,1610.2160000000001,1825.659,118
772,1579.666,1747.352,118
773,1540.837,1664.381,118
774,1499.487,1625.113,118
775,1456.103,1667.512,118
776,1422.637,1770.166,118
777,1415.329,1862.617,118
778,1439.306,1901.938,118
779,1480.702,1894.114,118
780,1517.689,1859.74,118
781,1533.445,1801.634,118
782,1529.478,1738.781,118
783,1510.136,1666.118,118
784,1481.5910000000001,1601.773,118
785,1446.1,1537.112,118
786,1408.675,1511.53,118
787,1369.955,1591.693,118
788,1343.825,1733.539,118
789,1349.712,1885.911,118
790,1394.81,1952.424,118
791,1460.68,1955.339,118
792,1520.902,1934.409,118
793,1553.936,1870.236,118
794,1560.358,1814.552,118
795,1547.757,1743.846,118
796,1522.884,1671.207,118
797,1489.243,1600.745,118
798,1452.396,1586.629,118
799,1413.771,1696.318,118
800,1390.1509999999998,1892.72,118
801,1405.184,2071.662,118
802,1468.251,2165.121,118
803,1556.23,2181.807,118
804,1637.155,2153.696,118
805,1684.345,2085.525,118
806,1698.068,2018.731,118
807,1689.274,1941.61,118
808,1664.687,1857.636,118
809,1629.1019999999999,1778.636,118
810,1589.0490000000002,1760.213,118
811,1546.391,1853.917,118
812,1518.9260000000002,2045.998,118
