SP,capture_m3d_ADF,capture_m3d_modflow,WellNum
439,0.083,12.233,118
440,0.993,29.359,118
441,3.864,41.592,118
442,9.301,56.761,118
443,15.927,59.696,118
444,22.169,57.25,118
445,26.543,57.984,118
446,28.891,60.675,118
447,30.142,53.58,118
448,30.425,53.825,118
449,30.102,51.867,118
450,29.424,49.176,118
451,28.535,56.516,118
452,27.869,54.314,118
453,27.998,58.962,118
454,29.144,62.143,118
455,30.833,62.388,118
456,32.361,52.112,118
457,33.159,55.048,118
458,33.253,53.091,118
459,32.837,55.293,118
460,32.104,50.399,118
461,31.144,47.953,118
462,30.111,50.399,118
463,29.034,50.399,118
464,28.324,57.739,118
465,28.551,57.984,118
466,29.931,59.941,118
467,31.921,58.473,118
468,33.751,55.293,118
469,34.788,53.335,118
470,35.045,58.228,118
471,34.767,50.644,118
472,34.124,48.442,118
473,33.226,48.442,118
474,32.23,43.696,118
475,31.176,51.036,118
476,30.469,55.684,118
477,30.67,55.415,118
478,31.992,57.984,118
479,33.906,60.7,118
480,35.661,58.498,118
481,36.64,56.027,118
482,36.859,56.002,118
483,36.551,46.069,118
484,35.887,57.984,118
485,34.972,46.24,118
486,33.964,46.24,118
487,32.887,43.304,118
488,32.049,51.378,118
489,31.864,53.091,118
490,32.462,45.751,118
491,33.498,47.953,118
492,34.424,55.537,118
493,34.817,48.442,118
494,34.716,45.996,118
495,34.231,41.592,118
496,33.516,36.454,118
497,32.629,41.592,118
498,31.695,48.858,118
499,30.761,48.442,118
500,30.448,59.696,118
501,31.657,71.44,118
502,34.792,77.556,118
503,38.885,80.737,118
504,42.697,73.887,118
505,45.143,81.716,118
506,46.201,83.673,118
507,46.347,67.281,118
508,45.836,71.88,118
509,44.887,67.403,118
510,43.73,67.281,118
511,42.492,75.844,118
512,42.1,85.875,118
513,43.884,104.713,118
514,48.443,115.478,118
515,54.381,117.925,118
516,59.906,117.436,118
517,63.445,107.649,118
518,64.942,105.447,118
519,65.181,101.288,118
520,64.453,98.597,118
521,63.084,93.215,118
522,61.407,86.119,118
523,59.529,85.875,118
524,58.035,96.15,118
525,57.707,91.502,118
526,58.799,105.937,118
527,60.684,103.49,118
528,62.361,104.469,118
529,63.059,107.16,118
530,62.853,96.64,118
531,61.94,92.725,118
532,60.608,87.416,118
533,58.962,80.223,118
534,57.234,72.663,118
535,55.428,81.495,118
536,53.959,81.275,118
537,53.383,88.175,118
538,53.849,90.45,118
539,54.92,86.535,118
540,55.851,88.101,118
541,56.094,80.59,118
542,55.724,80.15,118
543,54.832,77.116,118
544,53.658,72.908,118
545,52.258,68.015,118
546,50.815,69.678,118
547,49.356,74.376,118
548,48.559,84.652,118
549,49.39,95.172,118
550,52.245,107.405,118
551,56.136,106.426,118
552,59.736,99.086,118
553,61.918,95.172,118
554,62.682,94.927,118
555,62.479,92.774,118
556,61.611,95.123,118
557,60.288,92.163,118
558,58.77,81.96,118
559,57.136,78.78,118
560,56.063,95.416,118
561,56.493,101.778,118
562,58.787,103.001,118
563,62.061,107.649,118
564,65.059,108.383,118
565,66.748,105.447,118
566,67.153,97.863,118
567,66.673,95.906,118
568,65.59,91.453,118
569,64.081,86.119,118
570,62.41,85.875,118
571,60.62,84.407,118
572,59.228,86.902,118
573,58.929,101.631,118
574,59.945,105.447,118
575,61.694,103.49,118
576,63.254,99.576,118
577,63.914,101.778,118
578,63.742,89.3,118
579,62.919,92.481,118
580,61.708,93.949,118
581,60.204,79.269,118
582,58.619,81.716,118
583,56.979,80.615,118
584,55.85,88.811,118
585,56.021,98.108,118
586,57.781,98.108,118
587,60.386,95.172,118
588,62.765,87.587,118
589,64.046,95.392,118
590,64.262,90.328,118
591,63.724,88.077,118
592,62.685,83.404,118
593,61.287,85.508,118
594,59.759,80.492,118
595,58.194,95.906,118
596,57.588,104.224,118
597,59.383,120.616,118
598,64.215,132.604,118
599,70.563,137.987,118
600,76.462,130.402,118
601,80.204,132.604,118
602,81.76,128.69,118
603,81.867,120.372,118
604,80.941,116.457,118
605,79.325,110.096,118
606,77.385,132.311,118
607,75.742,200.13,118
608,79.712,309.908,118
609,97.251,410.875,118
610,132.421,472.923,118
611,175.909,508.398,118
612,216.761,504.973,118
613,244.834,494.208,118
614,259.236,473.902,118
615,265.982,457.999,118
616,266.21000000000004,439.16,118
617,262.3,413.961,118
618,256.067,400.26,118
619,248.52700000000002,436.224,118
620,243.70100000000002,478.844,118
621,247.084,524.228,118
622,260.92,537.88,118
623,280.192,545.097,118
