SP,capture_m3d_ADF,capture_m3d_modflow,WellNum
439,0.098,12.233,118
440,1.184,29.359,118
441,4.61,41.592,118
442,11.096,56.761,118
443,19,59.696,118
444,26.447,57.25,118
445,31.664,57.984,118
446,34.465,60.675,118
447,35.958,53.58,118
448,36.295,53.825,118
449,35.911,51.867,118
450,35.101,49.176,118
451,34.041,56.516,118
452,33.246,54.314,118
453,33.4,58.962,118
454,34.767,62.143,118
455,36.782,62.388,118
456,38.606,52.112,118
457,39.558,55.048,118
458,39.669,53.091,118
459,39.173,55.293,118
460,38.299,50.399,118
461,37.154,47.953,118
462,35.921,50.399,118
463,34.636,50.399,118
464,33.789,57.739,118
465,34.06,57.984,118
466,35.707,59.941,118
467,38.08,58.473,118
468,40.264,55.293,118
469,41.501,53.335,118
470,41.807,58.228,118
471,41.476,50.644,118
472,40.709,48.442,118
473,39.637,48.442,118
474,38.449,43.696,118
475,37.192,51.036,118
476,36.348,55.684,118
477,36.588,55.415,118
478,38.165,57.984,118
479,40.449,60.7,118
480,42.543,58.498,118
481,43.71,56.027,118
482,43.971,56.002,118
483,43.604,46.069,118
484,42.812,57.984,118
485,41.72,46.24,118
486,40.517,46.24,118
487,39.233,43.304,118
488,38.233,51.378,118
489,38.012,53.091,118
490,38.726,45.751,118
491,39.962,47.953,118
492,41.066,55.537,118
493,41.535,48.442,118
494,41.415,45.996,118
495,40.836,41.592,118
496,39.984,36.454,118
497,38.925,41.592,118
498,37.811,48.858,118
499,36.697,48.442,118
500,36.323,59.696,118
501,37.766,71.44,118
502,41.506,77.556,118
503,46.388,80.737,118
504,50.935,73.887,118
505,53.853,81.716,118
506,55.116,83.673,118
507,55.29,67.281,118
508,54.68,71.88,118
509,53.548,67.403,118
510,52.167,67.281,118
511,50.691,75.844,118
512,50.223,85.875,118
513,52.351,104.713,118
514,57.791,115.478,118
515,64.875,117.925,118
516,71.465,117.436,118
517,75.687,107.649,118
518,77.472,105.447,118
519,77.758,101.288,118
520,76.89,98.597,118
521,75.256,93.215,118
522,73.256,86.119,118
523,71.015,85.875,118
524,69.234,96.15,118
525,68.841,91.502,118
526,70.144,105.937,118
527,72.394,103.49,118
528,74.395,104.469,118
529,75.227,107.16,118
530,74.981,96.64,118
531,73.891,92.725,118
532,72.303,87.416,118
533,70.34,80.223,118
534,68.278,72.663,118
535,66.123,81.495,118
536,64.371,81.275,118
537,63.684,88.175,118
538,64.24,90.45,118
539,65.517,86.535,118
540,66.628,88.101,118
541,66.918,80.59,118
542,66.476,80.15,118
543,65.413,77.116,118
544,64.011,72.908,118
545,62.342,68.015,118
546,60.62,69.678,118
547,58.88,74.376,118
548,57.929,84.652,118
549,58.92,95.172,118
550,62.326,107.405,118
551,66.968,106.426,118
552,71.262,99.086,118
553,73.865,95.172,118
554,74.777,94.927,118
555,74.534,92.774,118
556,73.5,95.123,118
557,71.921,92.163,118
558,70.11,81.96,118
559,68.161,78.78,118
560,66.881,95.416,118
561,67.393,101.778,118
562,70.131,103.001,118
563,74.036,107.649,118
564,77.613,108.383,118
565,79.627,105.447,118
566,80.11,97.863,118
567,79.538,95.906,118
568,78.246,91.453,118
569,76.446,86.119,118
570,74.452,85.875,118
571,72.317,84.407,118
572,70.656,86.902,118
573,70.299,101.631,118
574,71.512,105.447,118
575,73.598,103.49,118
576,75.459,99.576,118
577,76.247,101.778,118
578,76.041,89.3,118
579,75.059,92.481,118
580,73.615,93.949,118
581,71.82,79.269,118
582,69.93,81.716,118
583,67.974,80.615,118
584,66.626,88.811,118
585,66.831,98.108,118
586,68.93,98.108,118
587,72.038,95.172,118
588,74.875,87.587,118
589,76.404,95.392,118
590,76.662,90.328,118
591,76.02,88.077,118
592,74.78,83.404,118
593,73.112,85.508,118
594,71.29,80.492,118
595,69.422,95.906,118
596,68.7,104.224,118
597,70.842,120.616,118
598,76.605,132.604,118
599,84.178,137.987,118
600,91.216,130.402,118
601,95.679,132.604,118
602,97.536,128.69,118
603,97.664,120.372,118
604,96.559,116.457,118
605,94.63,110.096,118
606,92.315,132.311,118
607,90.356,200.13,118
608,95.092,309.908,118
609,116.015,410.875,118
610,157.972,472.923,118
611,209.851,508.398,118
612,258.586,504.973,118
613,292.075,494.208,118
614,309.256,473.902,118
615,317.303,457.999,118
616,317.575,439.16,118
617,312.91,413.961,118
618,305.475,400.26,118
619,296.48,436.224,118
620,290.723,478.844,118
621,294.758,524.228,118
622,311.264,537.88,118
623,334.255,545.097,118
624,355.333,535.8,118
625,367.499,514.026,118
626,370.877,501.548,118
627,368.328,472.923,118
628,361.671,453.595,118
629,352.169,428.885,118
630,341.556,423.013,118
631,330.542,479.773,118
632,325.848,561.286,118
633,337.102,653.796,118
634,368.5,697.323,118
635,410.03,718.315,118
636,448.643,700.43,118
637,473.019,681.224,118
638,482.836,656.906,118
639,483.543,635.865,118
640,477.372,605.038,118
641,466.602,564.914,118
642,453.703,554.883,118
643,439.421,567.606,118
644,428.438,610.91,118
645,427.033,644.844,118
646,437.35,657.884,118
647,454.123,655.682,118
648,469.196,634.397,118
649,476.186,619.962,118
650,475.464,589.869,118
651,468.973,572.009,118
652,459.026,544.118,118
653,446.522,515.249,118
654,433.288,497.389,118
655,419.492,520.387,118
656,409.212,554.639,118
657,408.031,587.056,118
658,417.808,608.219,118
659,433.6,606.751,118
660,447.874,591.337,118
661,454.714,577.147,118
662,454.52,549.99,118
663,449.059,525.769,118
664,440.316,506.686,118
665,429.156,480.752,118
666,417.252,483.933,118
667,405.141,550.235,118
668,399.788,638.703,118
669,411.216,730.009,118
670,443.759,776.543,118
671,486.928,796.116,118
672,527.02,800.03,118
673,552.19,765.289,118
674,562.132,737.643,118
675,562.481,722.474,118
676,555.619,676.723,118
677,543.908,651.523,118
678,529.963,639.78,118
679,514.94,697.274,118
680,507.401,802.232,118
681,519.477,913.111,118
682,556.334,968.501,118
683,605.759,982.055,118
684,651.502,968.404,118
685,679.646,941.198,118
686,689.999,913.796,118
687,688.9309999999999,874.161,118
688,679.466,827.921,118
689,664.3059999999999,787.797,118
690,646.6279999999999,781.192,118
691,627.524,823.224,118
692,615.415,911.132,118
693,622.028,1006.35,118
694,651.9929999999999,1054.496,118
695,694.141,1056.064,118
696,732.8629999999999,1039.746,118
697,755.191,1006.521,118
698,761.336,973.982,118
699,756.179,930.433,118
700,743.54,890.553,118
701,725.679,843.09,118
702,705.784,854.833,118
703,685.217,959.302,118
704,677.193,1133.009,118
705,700.721,1310.807,118
706,764.1819999999999,1404.824,118
707,847.615,1435.039,118
708,925.1909999999999,1421.436,118
709,974.4259999999999,1381.899,118
710,994.6089999999999,1335.341,118
711,996.708,1273.932,118
712,985.058,1213.991,118
713,964.2239999999999,1157.964,118
714,939.0759999999999,1146.955,118
715,911.55,1222.798,118
716,894.718,1362.816,118
717,906.805,1504.889,118
718,955.168,1578.995,118
719,1022.334,1594.923,118
720,1084.134,1569.723,118
