SP,capture_m3d_ADF,capture_m3d_modflow,WellNum
439,0.077,12.233,118
440,0.925,29.359,118
441,3.602,41.592,118
442,8.67,56.761,118
443,14.846,59.696,118
444,20.664,57.25,118
445,24.74,57.984,118
446,26.929,60.675,118
447,28.095,53.58,118
448,28.359,53.825,118
449,28.058,51.867,118
450,27.425,49.176,118
451,26.597,56.516,118
452,25.976,54.314,118
453,26.096,58.962,118
454,27.164,62.143,118
455,28.739,62.388,118
456,30.164,52.112,118
457,30.907,55.048,118
458,30.994,53.091,118
459,30.607,55.293,118
460,29.924,50.399,118
461,29.029,47.953,118
462,28.066,50.399,118
463,27.062,50.399,118
464,26.401,57.739,118
465,26.612,57.984,118
466,27.899,59.941,118
467,29.753,58.473,118
468,31.459,55.293,118
469,32.426,53.335,118
470,32.665,58.228,118
471,32.406,50.644,118
472,31.807,48.442,118
473,30.97,48.442,118
474,30.042,43.696,118
475,29.059,51.036,118
476,28.4,55.684,118
477,28.587,55.415,118
478,29.819,57.984,118
479,31.604,60.7,118
480,33.24,58.498,118
481,34.152,56.027,118
482,34.356,56.002,118
483,34.069,46.069,118
484,33.45,57.984,118
485,32.597,46.24,118
486,31.657,46.24,118
487,30.654,43.304,118
488,29.873,51.378,118
489,29.7,53.091,118
490,30.258,45.751,118
491,31.223,47.953,118
492,32.086,55.537,118
493,32.453,48.442,118
494,32.359,45.996,118
495,31.907,41.592,118
496,31.24,36.454,118
497,30.413,41.592,118
498,29.543,48.858,118
499,28.672,48.442,118
500,28.38,59.696,118
501,29.507,71.44,118
502,32.43,77.556,118
503,36.244,80.737,118
504,39.797,73.887,118
505,42.077,81.716,118
506,43.064,83.673,118
507,43.2,67.281,118
508,42.723,71.88,118
509,41.839,67.403,118
510,40.76,67.281,118
511,39.606,75.844,118
512,39.241,85.875,118
513,40.903,104.713,118
514,45.154,115.478,118
515,50.688,117.925,118
516,55.838,117.436,118
517,59.137,107.649,118
518,60.531,105.447,118
519,60.754,101.288,118
520,60.076,98.597,118
521,58.8,93.215,118
522,57.237,86.119,118
523,55.486,85.875,118
524,54.094,96.15,118
525,53.788,91.502,118
526,54.806,105.937,118
527,56.563,103.49,118
528,58.127,104.469,118
529,58.777,107.16,118
530,58.585,96.64,118
531,57.733,92.725,118
532,56.493,87.416,118
533,54.958,80.223,118
534,53.347,72.663,118
535,51.664,81.495,118
536,50.295,81.275,118
537,49.758,88.175,118
538,50.192,90.45,118
539,51.19,86.535,118
540,52.058,88.101,118
541,52.285,80.59,118
542,51.94,80.15,118
543,51.109,77.116,118
544,50.014,72.908,118
545,48.71,68.015,118
546,47.364,69.678,118
547,46.005,74.376,118
548,45.262,84.652,118
549,46.036,95.172,118
550,48.697,107.405,118
551,52.324,106.426,118
552,55.679,99.086,118
553,57.713,95.172,118
554,58.425,94.927,118
555,58.236,92.774,118
556,57.427,95.123,118
557,56.194,92.163,118
558,54.779,81.96,118
559,53.256,78.78,118
560,52.256,95.416,118
561,52.656,101.778,118
562,54.795,103.001,118
563,57.847,107.649,118
564,60.641,108.383,118
565,62.215,105.447,118
566,62.593,97.863,118
567,62.145,95.906,118
568,61.136,91.453,118
569,59.729,86.119,118
570,58.171,85.875,118
571,56.503,84.407,118
572,55.206,86.902,118
573,54.927,101.631,118
574,55.874,105.447,118
575,57.504,103.49,118
576,58.958,99.576,118
577,59.574,101.778,118
578,59.413,89.3,118
579,58.646,92.481,118
580,57.517,93.949,118
581,56.115,79.269,118
582,54.639,81.716,118
583,53.11,80.615,118
584,52.057,88.811,118
585,52.217,98.108,118
586,53.857,98.108,118
587,56.286,95.172,118
588,58.502,87.587,118
589,59.696,95.392,118
590,59.898,90.328,118
591,59.396,88.077,118
592,58.428,83.404,118
593,57.125,85.508,118
594,55.701,80.492,118
595,54.242,95.906,118
596,53.677,104.224,118
597,55.351,120.616,118
598,59.854,132.604,118
599,65.771,137.987,118
600,71.27,130.402,118
601,74.757,132.604,118
602,76.208,128.69,118
603,76.307,120.372,118
604,75.445,116.457,118
605,73.937,110.096,118
606,72.129,132.311,118
607,70.598,200.13,118
608,74.298,309.908,118
609,90.646,410.875,118
610,123.428,472.923,118
611,163.962,508.398,118
612,202.04,504.973,118
613,228.207,494.208,118
614,241.63,473.902,118
615,247.918,457.999,118
616,248.131,439.16,118
617,244.485,413.961,118
618,238.676,400.26,118
619,231.649,436.224,118
620,227.15,478.844,118
621,230.303,524.228,118
622,243.2,537.88,118
623,261.163,545.097,118
624,277.632,535.8,118
625,287.138,514.026,118
626,289.777,501.548,118
627,287.785,472.923,118
628,282.584,453.595,118
629,275.16,428.885,118
630,266.868,423.013,118
631,258.263,479.773,118
632,254.596,561.286,118
633,263.388,653.796,118
634,287.921,697.323,118
635,320.37,718.315,118
636,350.539,700.43,118
637,369.585,681.224,118
638,377.255,656.906,118
639,377.80699999999996,635.865,118
640,372.986,605.038,118
641,364.572,564.914,118
642,354.493,554.883,118
643,343.334,567.606,118
644,334.753,610.91,118
645,333.65500000000003,644.844,118
646,341.717,657.884,118
647,354.822,655.682,118
648,366.598,634.397,118
649,372.06,619.962,118
650,371.49600000000004,589.869,118
651,366.42400000000004,572.009,118
652,358.653,544.118,118
653,348.883,515.249,118
654,338.54200000000003,497.389,118
655,327.76300000000003,520.387,118
656,319.731,554.639,118
657,318.81,587.056,118
658,326.449,608.219,118
659,338.787,606.751,118
660,349.94,591.337,118
661,355.284,577.147,118
662,355.132,549.99,118
663,350.866,525.769,118
664,344.034,506.686,118
665,335.315,480.752,118
666,326.014,483.933,118
667,316.55199999999996,550.235,118
668,312.36899999999997,638.703,118
669,321.29900000000004,730.009,118
670,346.726,776.543,118
671,380.45500000000004,796.116,118
672,411.78000000000003,800.03,118
673,431.446,765.289,118
674,439.214,737.643,118
675,439.48600000000005,722.474,118
676,434.125,676.723,118
677,424.975,651.523,118
678,414.079,639.78,118
679,402.342,697.274,118
680,396.452,802.232,118
681,405.888,913.111,118
682,434.685,968.501,118
683,473.302,982.055,118
684,509.042,968.404,118
685,531.032,941.198,118
686,539.121,913.796,118
687,538.2869999999999,874.161,118
688,530.8919999999999,827.921,118
689,519.047,787.797,118
690,505.234,781.192,118
691,490.308,823.224,118
692,480.847,911.132,118
693,486.01399999999995,1006.35,118
694,509.428,1054.496,118
695,542.3589999999999,1056.064,118
696,572.614,1039.746,118
697,590.0600000000001,1006.521,118
698,594.8620000000001,973.982,118
699,590.832,930.433,118
700,580.958,890.553,118
701,567.0020000000001,843.09,118
702,551.458,854.833,118
703,535.388,959.302,118
704,529.118,1133.009,118
705,547.501,1310.807,118
706,597.086,1404.824,118
707,662.275,1435.039,118
708,722.887,1421.436,118
709,761.356,1381.899,118
710,777.126,1335.341,118
