SP,capture_m3d_ADF,capture_m3d_modflow,WellNum
439,0.079,12.233,118
440,0.955,29.359,118
441,3.717,41.592,118
442,8.947,56.761,118
443,15.321,59.696,118
444,21.325,57.25,118
445,25.532,57.984,118
446,27.791,60.675,118
447,28.994,53.58,118
448,29.266,53.825,118
449,28.956,51.867,118
450,28.303,49.176,118
451,27.449,56.516,118
452,26.808,54.314,118
453,26.932,58.962,118
454,28.034,62.143,118
455,29.659,62.388,118
456,31.129,52.112,118
457,31.897,55.048,118
458,31.986,53.091,118
459,31.587,55.293,118
460,30.882,50.399,118
461,29.958,47.953,118
462,28.964,50.399,118
463,27.929,50.399,118
464,27.246,57.739,118
465,27.464,57.984,118
466,28.792,59.941,118
467,30.706,58.473,118
468,32.466,55.293,118
469,33.464,53.335,118
470,33.711,58.228,118
471,33.444,50.644,118
472,32.825,48.442,118
473,31.961,48.442,118
474,31.003,43.696,118
475,29.989,51.036,118
476,29.309,55.684,118
477,29.502,55.415,118
478,30.774,57.984,118
479,32.615,60.7,118
480,34.304,58.498,118
481,35.245,56.027,118
482,35.456,56.002,118
483,35.159,46.069,118
484,34.521,57.984,118
485,33.641,46.24,118
486,32.671,46.24,118
487,31.635,43.304,118
488,30.829,51.378,118
489,30.651,53.091,118
490,31.226,45.751,118
491,32.223,47.953,118
492,33.113,55.537,118
493,33.491,48.442,118
494,33.395,45.996,118
495,32.928,41.592,118
496,32.24,36.454,118
497,31.387,41.592,118
498,30.489,48.858,118
499,29.59,48.442,118
500,29.288,59.696,118
501,30.452,71.44,118
502,33.468,77.556,118
503,37.404,80.737,118
504,41.071,73.887,118
505,43.424,81.716,118
506,44.442,83.673,118
507,44.582,67.281,118
508,44.09,71.88,118
509,43.178,67.403,118
510,42.065,67.281,118
511,40.874,75.844,118
512,40.497,85.875,118
513,42.213,104.713,118
514,46.599,115.478,118
515,52.311,117.925,118
516,57.625,117.436,118
517,61.029,107.649,118
518,62.469,105.447,118
519,62.699,101.288,118
520,61.999,98.597,118
521,60.682,93.215,118
522,59.069,86.119,118
523,57.262,85.875,118
524,55.826,96.15,118
525,55.509,91.502,118
526,56.56,105.937,118
527,58.374,103.49,118
528,59.987,104.469,118
529,60.659,107.16,118
530,60.46,96.64,118
531,59.581,92.725,118
532,58.301,87.416,118
533,56.718,80.223,118
534,55.055,72.663,118
535,53.317,81.495,118
536,51.905,81.275,118
537,51.351,88.175,118
538,51.799,90.45,118
539,52.829,86.535,118
540,53.725,88.101,118
541,53.959,80.59,118
542,53.602,80.15,118
543,52.745,77.116,118
544,51.615,72.908,118
545,50.269,68.015,118
