SP,SegNum_modflow,depletion_m3d_modflow,SegNum_ADF,depletion_m3d_ADF,WellNum
438,267,4.893,267,151.221,118
439,267,12.233,267,350.62,118
440,267,29.359,267,404.643,118
441,267,41.592,267,312.925,118
442,267,56.761,267,92.369,118
443,267,59.696,267,52.984,118
444,267,57.25,267,35.742,118
445,267,57.984,267,25.112,118
446,267,60.675,267,20.012,118
447,267,53.58,267,16.138,118
448,267,53.825,267,13.461,118
449,267,51.867,267,9.953,118
450,267,49.176,267,51.199,118
451,267,56.516,267,108.232,118
452,267,54.314,267,123.192,118
453,267,58.962,267,95.917,118
454,267,62.143,267,31.343,118
455,267,62.388,267,19.487,118
456,267,52.112,267,14.112,118
457,267,55.048,267,11.077,118
458,267,53.091,267,9.219,118
459,267,55.293,267,7.812,118
460,267,50.399,267,6.798,118
461,267,47.953,267,5.987,118
462,267,50.399,267,53.166,118
463,267,50.399,267,115.662,118
464,267,57.739,267,132.338,118
465,267,57.984,267,102.953,118
466,267,59.941,267,32.913,118
467,267,58.473,267,20.195,118
468,267,55.293,267,14.502,118
469,267,53.335,267,11.327,118
470,267,58.228,267,9.461,118
471,267,50.644,267,8.004,118
472,267,48.442,267,6.967,118
473,267,48.442,267,6.143,118
474,267,43.696,267,52.233,118
475,267,51.036,267,113.27,118
476,267,55.684,267,129.531,118
477,267,55.415,267,100.853,118
478,267,57.984,267,32.398,118
479,267,60.7,267,19.965,118
480,267,58.498,267,14.398,118
481,267,56.027,267,11.292,118
482,267,56.002,267,9.466,118
483,267,46.069,267,8.04,118
484,267,57.984,267,7.023,118
485,267,46.24,267,6.215,118
486,267,46.24,267,38.4,118
487,267,43.304,267,81.145,118
488,267,51.378,267,92.432,118
489,267,53.091,267,72.174,118
490,267,45.751,267,24.013,118
491,267,47.953,267,15.206,118
492,267,55.537,267,11.228,118
493,267,48.442,267,8.985,118
494,267,45.996,267,7.654,118
495,267,41.592,267,6.602,118
496,267,36.454,267,5.845,118
497,267,41.592,267,5.237,118
498,267,48.858,267,84.587,118
499,267,48.442,267,189.459,118
500,267,59.696,267,217.674,118
501,267,71.44,267,168.91,118
502,267,77.556,267,52.262,118
503,267,80.737,267,31.265,118
504,267,73.887,267,21.973,118
505,267,81.716,267,16.858,118
506,267,83.673,267,13.806,118
507,267,67.281,267,11.546,118
508,267,71.88,267,9.955,118
509,267,67.403,267,8.708,118
510,267,67.281,267,123.671,118
511,267,75.844,267,275.721,118
512,267,85.875,267,316.533,118
513,267,104.713,267,245.662,118
514,267,115.478,267,76.157,118
515,267,117.925,267,45.59,118
516,267,117.436,267,32.033,118
517,267,107.649,267,24.555,118
518,267,105.447,267,20.211,118
519,267,101.288,267,16.857,118
520,267,98.597,267,14.497,118
521,267,93.215,267,12.646,118
522,267,86.119,267,71.484,118
523,267,85.875,267,149.754,118
524,267,96.15,267,170.345,118
525,267,91.502,267,133.048,118
526,267,105.937,267,44.482,118
527,267,103.49,267,28.228,118
528,267,104.469,267,20.855,118
529,267,107.16,267,16.684,118
530,267,96.64,267,14.198,118
531,267,92.725,267,12.231,118
532,267,87.416,267,10.81,118
533,267,80.223,267,9.668,118
534,267,72.663,267,52.093,118
535,267,81.495,267,108.425,118
536,267,81.275,267,123.299,118
537,267,88.175,267,96.508,118
538,267,90.45,267,32.869,118
539,267,86.535,267,21.196,118
540,267,88.101,267,15.899,118
541,267,80.59,267,12.899,118
542,267,80.15,267,11.107,118
543,267,77.116,267,9.684,118
544,267,72.908,267,8.652,118
545,267,68.015,267,7.819,118
546,267,69.678,267,91.052,118
547,267,74.376,267,201.091,118
548,267,84.652,267,230.645,118
549,267,95.172,267,179.306,118
550,267,107.405,267,56.64,118
551,267,106.426,267,34.5,118
552,267,99.086,267,24.664,118
553,267,95.172,267,19.225,118
554,267,94.927,267,15.962,118
555,267,92.774,267,13.532,118
556,267,95.123,267,11.812,118
557,267,92.163,267,10.455,118
558,267,81.96,267,87.608,118
559,267,78.78,267,189.876,118
560,267,95.416,267,217.058,118
561,267,101.778,267,169.073,118
562,267,103.001,267,54.508,118
563,267,107.649,267,33.714,118
564,267,108.383,267,24.411,118
565,267,105.447,267,19.227,118
566,267,97.863,267,16.183,118
567,267,95.906,267,13.806,118
568,267,91.453,267,12.114,118
569,267,86.119,267,10.771,118
570,267,85.875,267,64.938,118
571,267,84.407,267,136.887,118
572,267,86.902,267,155.864,118
573,267,101.631,267,121.802,118
574,267,105.447,267,40.77,118
575,267,103.49,267,25.957,118
576,267,99.576,267,19.268,118
577,267,101.778,267,15.5,118
578,267,89.3,267,13.263,118
579,267,92.481,267,11.497,118
580,267,93.949,267,10.225,118
581,267,79.269,267,9.204,118
582,267,81.716,267,74.46,118
583,267,80.615,267,160.916,118
584,267,88.811,267,183.912,118
585,267,98.108,267,143.368,118
586,267,98.108,267,46.637,118
587,267,95.172,267,29.086,118
588,267,87.587,267,21.234,118
589,267,95.392,267,16.857,118
590,267,90.328,267,14.285,118
591,267,88.077,267,12.275,118
592,267,83.404,267,10.842,118
593,267,85.508,267,9.702,118
594,267,80.492,267,135.09,118
595,267,95.906,267,300.935,118
596,267,104.224,267,345.428,118
597,267,120.616,267,268.32,118
598,267,132.604,267,83.668,118
599,267,137.987,267,50.399,118
600,267,130.402,267,35.657,118
601,267,132.604,267,27.53,118
602,267,128.69,267,22.672,118
603,267,120.372,267,19.07,118
604,267,116.457,267,16.531,118
605,267,110.096,267,14.537,118
606,267,132.311,267,744.241,118
607,267,200.13,267,1707.496,118
608,267,309.908,267,1967.589,118
609,267,410.875,267,1523,118
610,267,472.923,267,455.814,118
611,267,508.398,267,264.758,118
612,267,504.973,267,180.83,118
613,267,494.208,267,135.049,118
614,267,473.902,267,108.76,118
615,267,457.999,267,88.705,118
616,267,439.16,267,74.773,118
617,267,413.961,267,63.987,118
618,267,400.26,267,500.35,118
619,267,436.224,267,1079.57,118
620,267,478.844,267,1233.524,118
621,267,524.228,267,959.452,118
622,267,537.88,267,307.477,118
623,267,545.097,267,188.68,118
624,267,535.8,267,135.311,118
625,267,514.026,267,105.456,118
626,267,501.548,267,87.874,118
627,267,472.923,267,74.118,118
628,267,453.595,267,64.312,118
629,267,428.885,267,56.528,118
630,267,423.013,267,752.382,118
631,267,479.773,267,1672.909,118
632,267,561.286,267,1919.301,118
633,267,653.796,267,1490.605,118
634,267,697.323,267,463.786,118
635,267,718.315,267,278.481,118
636,267,700.43,267,196.201,118
637,267,681.224,267,150.746,118
638,267,656.906,267,124.296,118
639,267,635.865,267,103.838,118
640,267,605.038,267,89.415,118
641,267,564.914,267,78.083,118
642,267,554.883,267,484.037,118
643,267,567.606,267,1023.319,118
644,267,610.91,267,1166.05,118
645,267,644.844,267,909.554,118
646,267,657.884,267,300.742,118
647,267,655.682,267,189.297,118
648,267,634.397,267,138.911,118
649,267,619.962,267,110.505,118
650,267,589.869,267,93.136,118
651,267,572.009,267,79.964,118
652,267,544.118,267,70.47,118
653,267,515.249,267,62.851,118
654,267,497.389,267,438.369,118
655,267,520.387,267,936.619,118
656,267,554.639,267,1068.644,118
657,267,587.056,267,833.641,118
658,267,608.219,267,274.255,118
659,267,606.751,267,172.317,118
660,267,591.337,267,126.465,118
661,267,577.147,267,100.744,118
662,267,549.99,267,85.538,118
663,267,525.769,267,73.581,118
664,267,506.686,267,65.003,118
665,267,480.752,267,58.143,118
666,267,483.933,267,787.645,118
667,267,550.235,267,1752.011,118
668,267,638.703,267,2011.215,118
669,267,730.009,267,1561.843,118
670,267,776.543,267,487.585,118
671,267,796.116,267,293.908,118
672,267,800.03,267,208.016,118
673,267,765.289,267,160.624,118
674,267,737.643,267,133.075,118
675,267,722.474,267,111.783,118
676,267,676.723,267,96.781,118
677,267,651.523,267,84.995,118
678,267,639.78,267,945.156,118
679,267,697.274,267,2083.528,118
680,267,802.232,267,2387.628,118
681,267,913.111,267,1855.484,118
682,267,968.501,267,583.9,118
683,267,982.055,267,353.976,118
684,267,968.404,267,251.641,118
685,267,941.198,267,194.955,118
686,267,913.796,267,161.883,118
687,267,874.161,267,136.232,118
688,267,827.921,267,118.098,118
689,267,787.797,267,103.808,118
690,267,781.192,267,912.647,118
691,267,823.224,267,1984.749,118
692,267,911.132,267,2270.15,118
693,267,1006.35,267,1766.619,118
694,267,1054.496,267,565.698,118
695,267,1056.064,267,347.745,118
696,267,1039.746,267,250.267,118
697,267,1006.521,267,195.971,118
698,267,973.982,267,163.168,118
699,267,930.433,267,138.585,118
700,267,890.553,267,121.072,118
701,267,843.09,267,107.174,118
702,267,854.833,267,1489.01,118
703,267,959.302,267,3316.019,118
704,267,1133.009,267,3806.21,118
705,267,1310.807,267,2955.007,118
706,267,1404.824,267,919.196,118
707,267,1435.039,267,552.112,118
708,267,1421.436,267,389.309,118
709,267,1381.899,267,299.489,118
710,267,1335.341,267,247.292,118
711,267,1273.932,267,206.969,118
712,267,1213.991,267,178.576,118
713,267,1157.964,267,156.291,118
714,267,1146.955,267,1414.77,118
715,267,1222.798,267,3082.785,118
