SP,SegNum_modflow,depletion_m3d_modflow,SegNum_ADF,depletion_m3d_ADF,WellNum
438,267,4.893,267,151.221,118
439,267,12.233,267,350.62,118
440,267,29.359,267,404.643,118
441,267,41.592,267,312.925,118
442,267,56.761,267,92.369,118
443,267,59.696,267,52.984,118
444,267,57.25,267,35.742,118
445,267,57.984,267,26.374,118
446,267,60.675,267,21.018,118
447,267,53.58,267,16.949,118
448,267,53.825,267,14.137,118
449,267,51.867,267,11.971,118
450,267,49.176,267,72.911,118
451,267,56.516,267,154.129,118
452,267,54.314,267,175.433,118
453,267,58.962,267,136.593,118
454,267,62.143,267,44.635,118
455,267,62.388,267,27.751,118
456,267,52.112,267,20.097,118
457,267,55.048,267,15.774,118
458,267,53.091,267,13.129,118
459,267,55.293,267,11.124,118
460,267,50.399,267,9.682,118
461,267,47.953,267,8.527,118
462,267,50.399,267,75.712,118
463,267,50.399,267,164.711,118
464,267,57.739,267,188.458,118
465,267,57.984,267,146.612,118
466,267,59.941,267,46.871,118
467,267,58.473,267,28.759,118
468,267,55.293,267,20.651,118
469,267,53.335,267,16.13,118
470,267,58.228,267,13.474,118
471,267,50.644,267,11.399,118
472,267,48.442,267,9.921,118
473,267,48.442,267,8.748,118
474,267,43.696,267,74.383,118
475,267,51.036,267,161.304,118
476,267,55.684,267,184.46,118
477,267,55.415,267,143.622,118
478,267,57.984,267,46.136,118
479,267,60.7,267,28.431,118
480,267,58.498,267,20.503,118
481,267,56.027,267,16.08,118
482,267,56.002,267,13.481,118
483,267,46.069,267,11.449,118
484,267,57.984,267,10.001,118
485,267,46.24,267,8.851,118
486,267,46.24,267,54.684,118
487,267,43.304,267,115.555,118
488,267,51.378,267,131.629,118
489,267,53.091,267,102.781,118
490,267,45.751,267,34.197,118
491,267,47.953,267,21.655,118
492,267,55.537,267,15.989,118
493,267,48.442,267,12.796,118
494,267,45.996,267,10.9,118
495,267,41.592,267,9.402,118
496,267,36.454,267,8.324,118
497,267,41.592,267,7.458,118
498,267,48.858,267,120.457,118
499,267,48.442,267,269.802,118
500,267,59.696,267,309.983,118
501,267,71.44,267,240.539,118
502,267,77.556,267,74.424,118
503,267,80.737,267,44.523,118
504,267,73.887,267,31.291,118
505,267,81.716,267,24.007,118
506,267,83.673,267,19.66,118
507,267,67.281,267,16.442,118
508,267,71.88,267,14.177,118
509,267,67.403,267,12.401,118
510,267,67.281,267,176.115,118
511,267,75.844,267,392.644,118
512,267,85.875,267,450.764,118
513,267,104.713,267,349.839,118
514,267,115.478,267,108.453,118
515,267,117.925,267,64.923,118
516,267,117.436,267,45.617,118
517,267,107.649,267,34.968,118
518,267,105.447,267,28.782,118
519,267,101.288,267,24.006,118
520,267,98.597,267,20.645,118
521,267,93.215,267,18.009,118
522,267,86.119,267,101.798,118
523,267,85.875,267,213.26,118
524,267,96.15,267,242.583,118
525,267,91.502,267,189.469,118
526,267,105.937,267,63.346,118
527,267,103.49,267,40.199,118
528,267,104.469,267,29.699,118
529,267,107.16,267,23.759,118
530,267,96.64,267,20.22,118
531,267,92.725,267,17.417,118
532,267,87.416,267,15.394,118
533,267,80.223,267,13.767,118
534,267,72.663,267,74.184,118
535,267,81.495,267,154.404,118
536,267,81.275,267,175.586,118
537,267,88.175,267,137.434,118
538,267,90.45,267,46.807,118
539,267,86.535,267,30.184,118
540,267,88.101,267,22.642,118
541,267,80.59,267,18.369,118
542,267,80.15,267,15.817,118
543,267,77.116,267,13.79,118
544,267,72.908,267,12.321,118
545,267,68.015,267,11.134,118
546,267,69.678,267,129.664,118
547,267,74.376,267,286.367,118
548,267,84.652,267,328.453,118
549,267,95.172,267,255.343,118
550,267,107.405,267,80.66,118
551,267,106.426,267,49.13,118
552,267,99.086,267,35.123,118
553,267,95.172,267,27.377,118
554,267,94.927,267,22.73,118
555,267,92.774,267,19.271,118
556,267,95.123,267,16.822,118
557,267,92.163,267,14.889,118
558,267,81.96,267,124.759,118
559,267,78.78,267,270.396,118
560,267,95.416,267,309.104,118
561,267,101.778,267,240.771,118
562,267,103.001,267,77.624,118
563,267,107.649,267,48.011,118
564,267,108.383,267,34.763,118
565,267,105.447,267,27.38,118
566,267,97.863,267,23.045,118
567,267,95.906,267,19.661,118
568,267,91.453,267,17.251,118
569,267,86.119,267,15.338,118
570,267,85.875,267,92.477,118
571,267,84.407,267,194.936,118
572,267,86.902,267,221.96,118
573,267,101.631,267,173.454,118
574,267,105.447,267,58.059,118
575,267,103.49,267,36.964,118
576,267,99.576,267,27.439,118
577,267,101.778,267,22.073,118
578,267,89.3,267,18.887,118
579,267,92.481,267,16.372,118
580,267,93.949,267,14.561,118
581,267,79.269,267,13.107,118
582,267,81.716,267,106.036,118
583,267,80.615,267,229.155,118
584,267,88.811,267,261.903,118
585,267,98.108,267,204.165,118
586,267,98.108,267,66.415,118
587,267,95.172,267,41.42,118
588,267,87.587,267,30.239,118
589,267,95.392,267,24.006,118
590,267,90.328,267,20.343,118
591,267,88.077,267,17.481,118
592,267,83.404,267,15.439,118
593,267,85.508,267,13.816,118
594,267,80.492,267,192.377,118
595,267,95.906,267,428.552,118
596,267,104.224,267,491.913,118
597,267,120.616,267,382.105,118
598,267,132.604,267,119.149,118
599,267,137.987,267,71.771,118
600,267,130.402,267,50.777,118
601,267,132.604,267,39.205,118
602,267,128.69,267,32.287,118
603,267,120.372,267,27.157,118
604,267,116.457,267,23.541,118
605,267,110.096,267,20.701,118
606,267,132.311,267,1059.848,118
607,267,200.13,267,2431.588,118
608,267,309.908,267,2801.978,118
609,267,410.875,267,2168.854,118
610,267,472.923,267,649.11,118
611,267,508.398,267,377.033,118
612,267,504.973,267,257.514,118
613,267,494.208,267,192.319,118
614,267,473.902,267,154.882,118
615,267,457.999,267,126.321,118
616,267,439.16,267,106.481,118
617,267,413.961,267,91.122,118
618,267,400.26,267,712.532,118
619,267,436.224,267,1537.38,118
620,267,478.844,267,1756.62,118
621,267,524.228,267,1366.324,118
622,267,537.88,267,437.868,118
623,267,545.097,267,268.693,118
624,267,535.8,267,192.692,118
625,267,514.026,267,150.176,118
626,267,501.548,267,125.138,118
627,267,472.923,267,105.55,118
628,267,453.595,267,91.585,118
629,267,428.885,267,80.499,118
630,267,423.013,267,1071.441,118
631,267,479.773,267,2382.333,118
632,267,561.286,267,2733.213,118
633,267,653.796,267,2122.721,118
634,267,697.323,267,660.462,118
635,267,718.315,267,396.576,118
636,267,700.43,267,279.404,118
637,267,681.224,267,214.672,118
638,267,656.906,267,177.006,118
639,267,635.865,267,147.872,118
640,267,605.038,267,127.333,118
641,267,564.914,267,111.196,118
642,267,554.883,267,689.301,118
643,267,567.606,267,1457.274,118
644,267,610.91,267,1660.532,118
645,267,644.844,267,1295.265,118
646,267,657.884,267,428.276,118
647,267,655.682,267,269.572,118
648,267,634.397,267,197.819,118
649,267,619.962,267,157.367,118
650,267,589.869,267,132.632,118
651,267,572.009,267,113.874,118
652,267,544.118,267,100.354,118
653,267,515.249,267,89.504,118
654,267,497.389,267,624.267,118
655,267,520.387,267,1333.807,118
656,267,554.639,267,1521.82,118
657,267,587.056,267,1187.16,118
658,267,608.219,267,390.557,118
659,267,606.751,267,245.391,118
660,267,591.337,267,180.094,118
661,267,577.147,267,143.466,118
662,267,549.99,267,121.812,118
663,267,525.769,267,104.785,118
664,267,506.686,267,92.569,118
665,267,480.752,267,82.8,118
666,267,483.933,267,1121.658,118
667,267,550.235,267,2494.98,118
668,267,638.703,267,2864.104,118
669,267,730.009,267,2224.169,118
670,267,776.543,267,694.353,118
671,267,796.116,267,418.544,118
672,267,800.03,267,296.229,118
673,267,765.289,267,228.739,118
674,267,737.643,267,189.508,118
675,267,722.474,267,159.187,118
676,267,676.723,267,137.823,118
677,267,651.523,267,121.039,118
678,267,639.78,267,1345.965,118
679,267,697.274,267,2967.082,118
680,267,802.232,267,3400.141,118
681,267,913.111,267,2642.333,118
682,267,968.501,267,831.513,118
683,267,982.055,267,504.085,118
684,267,968.404,267,358.353,118
685,267,941.198,267,277.629,118
686,267,913.796,267,230.532,118
687,267,874.161,267,194.004,118
688,267,827.921,267,168.179,118
689,267,787.797,267,147.83,118
690,267,781.192,267,1299.669,118
691,267,823.224,267,2826.414,118
692,267,911.132,267,3232.845,118
693,267,1006.35,267,2515.783,118
694,267,1054.496,267,805.591,118
695,267,1056.064,267,495.212,118
696,267,1039.746,267,356.397,118
697,267,1006.521,267,279.075,118
698,267,973.982,267,232.362,118
699,267,930.433,267,197.354,118
700,267,890.553,267,172.414,118
701,267,843.09,267,152.623,118
702,267,854.833,267,2120.449,118
703,267,959.302,267,4722.231,118
704,267,1133.009,267,5420.296,118
705,267,1310.807,267,4208.127,118
706,267,1404.824,267,1308.997,118
707,267,1435.039,267,786.245,118
708,267,1421.436,267,554.402,118
709,267,1381.899,267,426.492,118
710,267,1335.341,267,352.16,118
711,267,1273.932,267,294.737,118
712,267,1213.991,267,254.304,118
713,267,1157.964,267,222.569,118
714,267,1146.955,267,2014.727,118
