SP,SegNum_modflow,depletion_m3d_modflow,SegNum_ADF,depletion_m3d_ADF,WellNum
438,267,4.893,267,180.137,118
439,267,12.233,267,417.664,118
440,267,29.359,267,482.017,118
441,267,41.592,267,372.762,118
442,267,56.761,267,110.031,118
443,267,59.696,267,63.116,118
444,267,57.25,267,42.576,118
445,267,57.984,267,31.417,118
446,267,60.675,267,25.036,118
447,267,53.58,267,20.19,118
448,267,53.825,267,16.84,118
449,267,51.867,267,14.26,118
450,267,49.176,267,86.853,118
451,267,56.516,267,183.601,118
452,267,54.314,267,208.979,118
453,267,58.962,267,162.711,118
454,267,62.143,267,53.17,118
455,267,62.388,267,33.057,118
456,267,52.112,267,23.94,118
457,267,55.048,267,18.79,118
458,267,53.091,267,15.64,118
459,267,55.293,267,13.251,118
460,267,50.399,267,11.533,118
461,267,47.953,267,10.157,118
462,267,50.399,267,90.19,118
463,267,50.399,267,196.206,118
464,267,57.739,267,224.495,118
465,267,57.984,267,174.647,118
466,267,59.941,267,55.833,118
467,267,58.473,267,34.258,118
468,267,55.293,267,24.6,118
469,267,53.335,267,19.214,118
470,267,58.228,267,16.05,118
471,267,50.644,267,13.578,118
472,267,48.442,267,11.818,118
473,267,48.442,267,10.421,118
474,267,43.696,267,88.606,118
475,267,51.036,267,192.148,118
476,267,55.684,267,219.732,118
477,267,55.415,267,171.085,118
478,267,57.984,267,54.958,118
479,267,60.7,267,33.868,118
480,267,58.498,267,24.424,118
481,267,56.027,267,19.155,118
482,267,56.002,267,16.058,118
483,267,46.069,267,13.638,118
484,267,57.984,267,11.913,118
485,267,46.24,267,10.543,118
486,267,46.24,267,65.14,118
487,267,43.304,267,137.652,118
488,267,51.378,267,156.799,118
489,267,53.091,267,122.434,118
490,267,45.751,267,40.736,118
491,267,47.953,267,25.796,118
492,267,55.537,267,19.046,118
493,267,48.442,267,15.243,118
494,267,45.996,267,12.984,118
495,267,41.592,267,11.2,118
496,267,36.454,267,9.915,118
497,267,41.592,267,8.884,118
498,267,48.858,267,143.49,118
499,267,48.442,267,321.392,118
500,267,59.696,267,369.256,118
501,267,71.44,267,286.534,118
502,267,77.556,267,88.656,118
503,267,80.737,267,53.037,118
