SP,SegNum_modflow,depletion_m3d_modflow,SegNum_ADF,depletion_m3d_ADF,WellNum
438,267,4.893,267,145.464,118
439,267,12.233,267,337.271,118
440,267,29.359,267,389.237,118
441,267,41.592,267,301.011,118
442,267,56.761,267,88.852,118
443,267,59.696,267,50.967,118
444,267,57.25,267,34.381,118
445,267,57.984,267,25.37,118
446,267,60.675,267,20.217,118
447,267,53.58,267,16.304,118
448,267,53.825,267,13.599,118
449,267,51.867,267,11.515,118
450,267,49.176,267,70.135,118
451,267,56.516,267,148.261,118
452,267,54.314,267,168.754,118
453,267,58.962,267,131.392,118
454,267,62.143,267,42.936,118
455,267,62.388,267,26.694,118
456,267,52.112,267,19.332,118
457,267,55.048,267,15.174,118
458,267,53.091,267,12.629,118
459,267,55.293,267,10.701,118
460,267,50.399,267,9.313,118
461,267,47.953,267,8.202,118
462,267,50.399,267,72.83,118
463,267,50.399,267,158.44,118
464,267,57.739,267,181.283,118
465,267,57.984,267,141.03,118
466,267,59.941,267,45.086,118
467,267,58.473,267,27.664,118
468,267,55.293,267,19.865,118
469,267,53.335,267,15.516,118
470,267,58.228,267,12.961,118
471,267,50.644,267,10.965,118
472,267,48.442,267,9.543,118
473,267,48.442,267,8.415,118
474,267,43.696,267,71.551,118
475,267,51.036,267,155.163,118
476,267,55.684,267,177.437,118
477,267,55.415,267,138.154,118
478,267,57.984,267,44.38,118
479,267,60.7,267,27.349,118
480,267,58.498,267,19.723,118
481,267,56.027,267,15.468,118
482,267,56.002,267,12.967,118
483,267,46.069,267,11.013,118
484,267,57.984,267,9.62,118
485,267,46.24,267,8.514,118
486,267,46.24,267,52.602,118
487,267,43.304,267,111.156,118
488,267,51.378,267,126.618,118
489,267,53.091,267,98.868,118
490,267,45.751,267,32.895,118
491,267,47.953,267,20.83,118
492,267,55.537,267,15.38,118
493,267,48.442,267,12.309,118
494,267,45.996,267,10.485,118
495,267,41.592,267,9.044,118
496,267,36.454,267,8.007,118
497,267,41.592,267,7.174,118
498,267,48.858,267,115.871,118
499,267,48.442,267,259.53,118
500,267,59.696,267,298.181,118
501,267,71.44,267,231.381,118
502,267,77.556,267,71.591,118
503,267,80.737,267,42.828,118
504,267,73.887,267,30.099,118
505,267,81.716,267,23.093,118
506,267,83.673,267,18.912,118
507,267,67.281,267,15.816,118
508,267,71.88,267,13.637,118
509,267,67.403,267,11.929,118
510,267,67.281,267,169.41,118
511,267,75.844,267,377.695,118
512,267,85.875,267,433.602,118
513,267,104.713,267,336.52,118
514,267,115.478,267,104.323,118
515,267,117.925,267,62.451,118
516,267,117.436,267,43.881,118
517,267,107.649,267,33.637,118
518,267,105.447,267,27.686,118
519,267,101.288,267,23.092,118
520,267,98.597,267,19.859,118
521,267,93.215,267,17.324,118
522,267,86.119,267,97.922,118
523,267,85.875,267,205.141,118
524,267,96.15,267,233.347,118
525,267,91.502,267,182.255,118
526,267,105.937,267,60.934,118
527,267,103.49,267,38.668,118
528,267,104.469,267,28.569,118
529,267,107.16,267,22.854,118
530,267,96.64,267,19.45,118
531,267,92.725,267,16.754,118
532,267,87.416,267,14.808,118
533,267,80.223,267,13.243,118
534,267,72.663,267,71.36,118
535,267,81.495,267,148.526,118
536,267,81.275,267,168.901,118
537,267,88.175,267,132.201,118
538,267,90.45,267,45.025,118
539,267,86.535,267,29.035,118
540,267,88.101,267,21.78,118
541,267,80.59,267,17.669,118
542,267,80.15,267,15.215,118
543,267,77.116,267,13.265,118
544,267,72.908,267,11.852,118
545,267,68.015,267,10.71,118
546,267,69.678,267,124.728,118
547,267,74.376,267,275.465,118
548,267,84.652,267,315.948,118
549,267,95.172,267,245.622,118
550,267,107.405,267,77.589,118
551,267,106.426,267,47.259,118
552,267,99.086,267,33.786,118
553,267,95.172,267,26.335,118
554,267,94.927,267,21.865,118
555,267,92.774,267,18.537,118
556,267,95.123,267,16.181,118
557,267,92.163,267,14.322,118
558,267,81.96,267,120.009,118
559,267,78.78,267,260.101,118
560,267,95.416,267,297.336,118
561,267,101.778,267,231.604,118
562,267,103.001,267,74.668,118
563,267,107.649,267,46.183,118
564,267,108.383,267,33.44,118
565,267,105.447,267,26.338,118
566,267,97.863,267,22.168,118
567,267,95.906,267,18.912,118
568,267,91.453,267,16.594,118
569,267,86.119,267,14.754,118
570,267,85.875,267,88.956,118
571,267,84.407,267,187.514,118
572,267,86.902,267,213.509,118
573,267,101.631,267,166.85,118
574,267,105.447,267,55.849,118
575,267,103.49,267,35.557,118
576,267,99.576,267,26.394,118
577,267,101.778,267,21.232,118
578,267,89.3,267,18.168,118
579,267,92.481,267,15.749,118
580,267,93.949,267,14.007,118
581,267,79.269,267,12.608,118
582,267,81.716,267,101.999,118
583,267,80.615,267,220.43,118
584,267,88.811,267,251.932,118
585,267,98.108,267,196.392,118
586,267,98.108,267,63.886,118
587,267,95.172,267,39.843,118
588,267,87.587,267,29.088,118
589,267,95.392,267,23.092,118
590,267,90.328,267,19.569,118
591,267,88.077,267,16.815,118
592,267,83.404,267,14.851,118
593,267,85.508,267,13.29,118
594,267,80.492,267,185.053,118
595,267,95.906,267,412.236,118
596,267,104.224,267,473.185,118
597,267,120.616,267,367.558,118
598,267,132.604,267,114.613,118
599,267,137.987,267,69.039,118
600,267,130.402,267,48.844,118
601,267,132.604,267,37.712,118
602,267,128.69,267,31.058,118
603,267,120.372,267,26.123,118
604,267,116.457,267,22.645,118
605,267,110.096,267,19.913,118
606,267,132.311,267,1019.497,118
607,267,200.13,267,2339.011,118
608,267,309.908,267,2695.298,118
609,267,410.875,267,2086.279,118
610,267,472.923,267,624.396,118
611,267,508.398,267,362.678,118
612,267,504.973,267,247.71,118
613,267,494.208,267,184.997,118
614,267,473.902,267,148.985,118
615,267,457.999,267,121.512,118
616,267,439.16,267,102.427,118
617,267,413.961,267,87.653,118
618,267,400.26,267,685.404,118
619,267,436.224,267,1478.847,118
620,267,478.844,267,1689.74,118
621,267,524.228,267,1314.304,118
622,267,537.88,267,421.197,118
623,267,545.097,267,258.463,118
624,267,535.8,267,185.356,118
625,267,514.026,267,144.458,118
626,267,501.548,267,120.373,118
627,267,472.923,267,101.531,118
