SP,SegNum_modflow,depletion_m3d_modflow,SegNum_ADF,depletion_m3d_ADF,WellNum
438,267,4.893,0,0,118
439,267,12.233,267,0.101,118
440,267,29.359,267,1.221,118
441,267,41.592,267,4.752,118
442,267,56.761,267,11.439,118
443,267,59.696,267,19.587,118
444,267,57.25,267,27.264,118
445,267,57.984,267,32.642,118
446,267,60.675,267,35.529,118
447,267,53.58,267,37.068,118
448,267,53.825,267,37.416,118
449,267,51.867,267,37.02,118
450,267,49.176,267,36.185,118
451,267,56.516,267,35.092,118
452,267,54.314,267,34.273,118
453,267,58.962,267,34.431,118
454,267,62.143,267,35.84,118
455,267,62.388,267,37.918,118
456,267,52.112,267,39.798,118
457,267,55.048,267,40.779,118
458,267,53.091,267,40.894,118
459,267,55.293,267,40.383,118
460,267,50.399,267,39.481,118
461,267,47.953,267,38.301,118
462,267,50.399,267,37.03,118
463,267,50.399,267,35.706,118
464,267,57.739,267,34.833,118
465,267,57.984,267,35.112,118
466,267,59.941,267,36.809,118
467,267,58.473,267,39.256,118
468,267,55.293,267,41.507,118
469,267,53.335,267,42.782,118
470,267,58.228,267,43.098,118
471,267,50.644,267,42.757,118
472,267,48.442,267,41.966,118
473,267,48.442,267,40.861,118
474,267,43.696,267,39.637,118
475,267,51.036,267,38.34,118
476,267,55.684,267,37.471,118
477,267,55.415,267,37.718,118
478,267,57.984,267,39.343,118
479,267,60.7,267,41.698,118
480,267,58.498,267,43.856,118
481,267,56.027,267,45.06,118
482,267,56.002,267,45.329,118
483,267,46.069,267,44.95,118
484,267,57.984,267,44.134,118
485,267,46.24,267,43.009,118
486,267,46.24,267,41.768,118
487,267,43.304,267,40.444,118
488,267,51.378,267,39.414,118
489,267,53.091,267,39.186,118
490,267,45.751,267,39.922,118
491,267,47.953,267,41.196,118
492,267,55.537,267,42.334,118
493,267,48.442,267,42.818,118
494,267,45.996,267,42.694,118
495,267,41.592,267,42.097,118
496,267,36.454,267,41.218,118
497,267,41.592,267,40.127,118
498,267,48.858,267,38.979,118
499,267,48.442,267,37.83,118
500,267,59.696,267,37.444,118
501,267,71.44,267,38.932,118
502,267,77.556,267,42.787,118
503,267,80.737,267,47.82,118
504,267,73.887,267,52.508,118
505,267,81.716,267,55.516,118
506,267,83.673,267,56.818,118
507,267,67.281,267,56.997,118
508,267,71.88,267,56.368,118
509,267,67.403,267,55.202,118
510,267,67.281,267,53.778,118
511,267,75.844,267,52.256,118
512,267,85.875,267,51.774,118
513,267,104.713,267,53.968,118
514,267,115.478,267,59.575,118
515,267,117.925,267,66.878,118
516,267,117.436,267,73.672,118
517,267,107.649,267,78.024,118
518,267,105.447,267,79.865,118
519,267,101.288,267,80.159,118
520,267,98.597,267,79.264,118
521,267,93.215,267,77.58,118
522,267,86.119,267,75.518,118
523,267,85.875,267,73.208,118
524,267,96.15,267,71.371,118
525,267,91.502,267,70.967,118
526,267,105.937,267,72.31,118
527,267,103.49,267,74.629,118
528,267,104.469,267,76.692,118
529,267,107.16,267,77.55,118
530,267,96.64,267,77.296,118
531,267,92.725,267,76.173,118
532,267,87.416,267,74.536,118
533,267,80.223,267,72.512,118
534,267,72.663,267,70.386,118
535,267,81.495,267,68.165,118
536,267,81.275,267,66.359,118
537,267,88.175,267,65.65,118
538,267,90.45,267,66.223,118
539,267,86.535,267,67.54,118
540,267,88.101,267,68.685,118
541,267,80.59,267,68.984,118
542,267,80.15,267,68.529,118
543,267,77.116,267,67.433,118
544,267,72.908,267,65.988,118
545,267,68.015,267,64.267,118
546,267,69.678,267,62.492,118
547,267,74.376,267,60.698,118
548,267,84.652,267,59.718,118
549,267,95.172,267,60.739,118
550,267,107.405,267,64.25,118
551,267,106.426,267,69.035,118
552,267,99.086,267,73.462,118
553,267,95.172,267,76.146,118
554,267,94.927,267,77.086,118
555,267,92.774,267,76.836,118
556,267,95.123,267,75.769,118
557,267,92.163,267,74.142,118
558,267,81.96,267,72.274,118
559,267,78.78,267,70.265,118
560,267,95.416,267,68.946,118
561,267,101.778,267,69.474,118
562,267,103.001,267,72.296,118
563,267,107.649,267,76.322,118
564,267,108.383,267,80.009,118
565,267,105.447,267,82.086,118
566,267,97.863,267,82.584,118
567,267,95.906,267,81.994,118
568,267,91.453,267,80.662,118
569,267,86.119,267,78.806,118
570,267,85.875,267,76.751,118
571,267,84.407,267,74.55,118
572,267,86.902,267,72.838,118
573,267,101.631,267,72.47,118
574,267,105.447,267,73.72,118
575,267,103.49,267,75.871,118
576,267,99.576,267,77.789,118
577,267,101.778,267,78.601,118
578,267,89.3,267,78.389,118
579,267,92.481,267,77.377,118
580,267,93.949,267,75.888,118
581,267,79.269,267,74.038,118
582,267,81.716,267,72.09,118
583,267,80.615,267,70.073,118
584,267,88.811,267,68.684,118
585,267,98.108,267,68.894,118
586,267,98.108,267,71.058,118
587,267,95.172,267,74.263,118
588,267,87.587,267,77.187,118
589,267,95.392,267,78.763,118
590,267,90.328,267,79.029,118
591,267,88.077,267,78.367,118
592,267,83.404,267,77.089,118
593,267,85.508,267,75.37,118
