SP,SegNum_modflow,depletion_m3d_modflow,SegNum_ADF,depletion_m3d_ADF,WellNum
438,267,4.893,0,0,118
439,267,12.233,267,0.077,118
440,267,29.359,267,0.925,118
441,267,41.592,267,3.602,118
442,267,56.761,267,8.67,118
443,267,59.696,267,14.846,118
444,267,57.25,267,20.664,118
445,267,57.984,267,24.74,118
446,267,60.675,267,26.929,118
447,267,53.58,267,28.095,118
448,267,53.825,267,28.359,118
449,267,51.867,267,28.058,118
450,267,49.176,267,27.425,118
451,267,56.516,267,26.597,118
452,267,54.314,267,25.976,118
453,267,58.962,267,26.096,118
454,267,62.143,267,27.164,118
455,267,62.388,267,28.739,118
456,267,52.112,267,30.164,118
457,267,55.048,267,30.907,118
458,267,53.091,267,30.994,118
459,267,55.293,267,30.607,118
460,267,50.399,267,29.924,118
461,267,47.953,267,29.029,118
462,267,50.399,267,28.066,118
463,267,50.399,267,27.062,118
464,267,57.739,267,26.401,118
465,267,57.984,267,26.612,118
466,267,59.941,267,27.899,118
467,267,58.473,267,29.753,118
468,267,55.293,267,31.459,118
469,267,53.335,267,32.426,118
470,267,58.228,267,32.665,118
471,267,50.644,267,32.406,118
472,267,48.442,267,31.807,118
473,267,48.442,267,30.97,118
474,267,43.696,267,30.042,118
475,267,51.036,267,29.059,118
476,267,55.684,267,28.4,118
477,267,55.415,267,28.587,118
478,267,57.984,267,29.819,118
479,267,60.7,267,31.604,118
480,267,58.498,267,33.24,118
481,267,56.027,267,34.152,118
482,267,56.002,267,34.356,118
483,267,46.069,267,34.069,118
484,267,57.984,267,33.45,118
485,267,46.24,267,32.597,118
486,267,46.24,267,31.657,118
487,267,43.304,267,30.654,118
488,267,51.378,267,29.873,118
489,267,53.091,267,29.7,118
490,267,45.751,267,30.258,118
491,267,47.953,267,31.223,118
492,267,55.537,267,32.086,118
493,267,48.442,267,32.453,118
494,267,45.996,267,32.359,118
495,267,41.592,267,31.907,118
496,267,36.454,267,31.24,118
497,267,41.592,267,30.413,118
498,267,48.858,267,29.543,118
499,267,48.442,267,28.672,118
500,267,59.696,267,28.38,118
501,267,71.44,267,29.507,118
502,267,77.556,267,32.43,118
503,267,80.737,267,36.244,118
504,267,73.887,267,39.797,118
505,267,81.716,267,42.077,118
506,267,83.673,267,43.064,118
507,267,67.281,267,43.2,118
508,267,71.88,267,42.723,118
509,267,67.403,267,41.839,118
510,267,67.281,267,40.76,118
511,267,75.844,267,39.606,118
512,267,85.875,267,39.241,118
513,267,104.713,267,40.903,118
514,267,115.478,267,45.154,118
