SP,SegNum_modflow,depletion_m3d_modflow,SegNum_ADF,depletion_m3d_ADF,WellNum
438,267,4.893,0,0,118
439,267,12.233,267,0.079,118
440,267,29.359,267,0.955,118
441,267,41.592,267,3.717,118
442,267,56.761,267,8.947,118
443,267,59.696,267,15.321,118
444,267,57.25,267,21.325,118
445,267,57.984,267,25.532,118
446,267,60.675,267,27.791,118
447,267,53.58,267,28.994,118
448,267,53.825,267,29.266,118
449,267,51.867,267,28.956,118
450,267,49.176,267,28.303,118
451,267,56.516,267,27.449,118
452,267,54.314,267,26.808,118
453,267,58.962,267,26.932,118
454,267,62.143,267,28.034,118
455,267,62.388,267,29.659,118
456,267,52.112,267,31.129,118
457,267,55.048,267,31.897,118
458,267,53.091,267,31.986,118
459,267,55.293,267,31.587,118
460,267,50.399,267,30.882,118
461,267,47.953,267,29.958,118
462,267,50.399,267,28.964,118
463,267,50.399,267,27.929,118
464,267,57.739,267,27.246,118
465,267,57.984,267,27.464,118
466,267,59.941,267,28.792,118
467,267,58.473,267,30.706,118
468,267,55.293,267,32.466,118
469,267,53.335,267,33.464,118
470,267,58.228,267,33.711,118
471,267,50.644,267,33.444,118
472,267,48.442,267,32.825,118
473,267,48.442,267,31.961,118
474,267,43.696,267,31.003,118
475,267,51.036,267,29.989,118
476,267,55.684,267,29.309,118
477,267,55.415,267,29.502,118
478,267,57.984,267,30.774,118
479,267,60.7,267,32.615,118
480,267,58.498,267,34.304,118
481,267,56.027,267,35.245,118
482,267,56.002,267,35.456,118
483,267,46.069,267,35.159,118
484,267,57.984,267,34.521,118
485,267,46.24,267,33.641,118
486,267,46.24,267,32.671,118
487,267,43.304,267,31.635,118
488,267,51.378,267,30.829,118
489,267,53.091,267,30.651,118
490,267,45.751,267,31.226,118
491,267,47.953,267,32.223,118
492,267,55.537,267,33.113,118
493,267,48.442,267,33.491,118
494,267,45.996,267,33.395,118
495,267,41.592,267,32.928,118
496,267,36.454,267,32.24,118
497,267,41.592,267,31.387,118
498,267,48.858,267,30.489,118
499,267,48.442,267,29.59,118
500,267,59.696,267,29.288,118
501,267,71.44,267,30.452,118
502,267,77.556,267,33.468,118
503,267,80.737,267,37.404,118
504,267,73.887,267,41.071,118
505,267,81.716,267,43.424,118
506,267,83.673,267,44.442,118
507,267,67.281,267,44.582,118
508,267,71.88,267,44.09,118
509,267,67.403,267,43.178,118
510,267,67.281,267,42.065,118
511,267,75.844,267,40.874,118
512,267,85.875,267,40.497,118
513,267,104.713,267,42.213,118
514,267,115.478,267,46.599,118
515,267,117.925,267,52.311,118
516,267,117.436,267,57.625,118
517,267,107.649,267,61.029,118
518,267,105.447,267,62.469,118
519,267,101.288,267,62.699,118
520,267,98.597,267,61.999,118
521,267,93.215,267,60.682,118
522,267,86.119,267,59.069,118
523,267,85.875,267,57.262,118
524,267,96.15,267,55.826,118
525,267,91.502,267,55.509,118
526,267,105.937,267,56.56,118
527,267,103.49,267,58.374,118
528,267,104.469,267,59.987,118
