SP,SegNum_modflow,depletion_m3d_modflow,SegNum_ADF,depletion_m3d_ADF,WellNum
438,267,4.893,0,0,118
439,267,12.233,267,0.083,118
440,267,29.359,267,0.993,118
441,267,41.592,267,3.864,118
442,267,56.761,267,9.301,118
443,267,59.696,267,15.927,118
444,267,57.25,267,22.169,118
445,267,57.984,267,26.543,118
446,267,60.675,267,28.891,118
447,267,53.58,267,30.142,118
448,267,53.825,267,30.425,118
449,267,51.867,267,30.102,118
450,267,49.176,267,29.424,118
451,267,56.516,267,28.535,118
452,267,54.314,267,27.869,118
453,267,58.962,267,27.998,118
454,267,62.143,267,29.144,118
455,267,62.388,267,30.833,118
456,267,52.112,267,32.361,118
457,267,55.048,267,33.159,118
458,267,53.091,267,33.253,118
459,267,55.293,267,32.837,118
460,267,50.399,267,32.104,118
461,267,47.953,267,31.144,118
462,267,50.399,267,30.111,118
463,267,50.399,267,29.034,118
464,267,57.739,267,28.324,118
465,267,57.984,267,28.551,118
466,267,59.941,267,29.931,118
467,267,58.473,267,31.921,118
468,267,55.293,267,33.751,118
469,267,53.335,267,34.788,118
470,267,58.228,267,35.045,118
471,267,50.644,267,34.767,118
472,267,48.442,267,34.124,118
473,267,48.442,267,33.226,118
474,267,43.696,267,32.23,118
475,267,51.036,267,31.176,118
476,267,55.684,267,30.469,118
477,267,55.415,267,30.67,118
478,267,57.984,267,31.992,118
479,267,60.7,267,33.906,118
480,267,58.498,267,35.661,118
481,267,56.027,267,36.64,118
482,267,56.002,267,36.859,118
483,267,46.069,267,36.551,118
484,267,57.984,267,35.887,118
485,267,46.24,267,34.972,118
486,267,46.24,267,33.964,118
487,267,43.304,267,32.887,118
488,267,51.378,267,32.049,118
489,267,53.091,267,31.864,118
490,267,45.751,267,32.462,118
491,267,47.953,267,33.498,118
492,267,55.537,267,34.424,118
493,267,48.442,267,34.817,118
494,267,45.996,267,34.716,118
495,267,41.592,267,34.231,118
496,267,36.454,267,33.516,118
497,267,41.592,267,32.629,118
498,267,48.858,267,31.695,118
499,267,48.442,267,30.761,118
500,267,59.696,267,30.448,118
501,267,71.44,267,31.657,118
502,267,77.556,267,34.792,118
503,267,80.737,267,38.885,118
504,267,73.887,267,42.697,118
505,267,81.716,267,45.143,118
506,267,83.673,267,46.201,118
507,267,67.281,267,46.347,118
508,267,71.88,267,45.836,118
509,267,67.403,267,44.887,118
510,267,67.281,267,43.73,118
