SP,SegNum_modflow,depletion_m3d_modflow,SegNum_ADF,depletion_m3d_ADF,WellNum
438,267,4.893,0,0,118
439,267,12.233,267,0.098,118
440,267,29.359,267,1.183,118
441,267,41.592,267,4.603,118
442,267,56.761,267,11.08,118
443,267,59.696,267,18.973,118
444,267,57.25,267,26.408,118
445,267,57.984,267,31.618,118
446,267,60.675,267,34.415,118
447,267,53.58,267,35.905,118
448,267,53.825,267,36.242,118
449,267,51.867,267,35.859,118
450,267,49.176,267,35.05,118
451,267,56.516,267,33.991,118
452,267,54.314,267,33.198,118
453,267,58.962,267,33.351,118
454,267,62.143,267,34.716,118
455,267,62.388,267,36.729,118
456,267,52.112,267,38.549,118
457,267,55.048,267,39.5,118
458,267,53.091,267,39.611,118
459,267,55.293,267,39.116,118
460,267,50.399,267,38.243,118
461,267,47.953,267,37.099,118
462,267,50.399,267,35.868,118
463,267,50.399,267,34.586,118
464,267,57.739,267,33.74,118
465,267,57.984,267,34.01,118
466,267,59.941,267,35.654,118
467,267,58.473,267,38.025,118
468,267,55.293,267,40.205,118
469,267,53.335,267,41.44,118
470,267,58.228,267,41.746,118
471,267,50.644,267,41.415,118
472,267,48.442,267,40.649,118
473,267,48.442,267,39.579,118
474,267,43.696,267,38.393,118
475,267,51.036,267,37.138,118
476,267,55.684,267,36.295,118
477,267,55.415,267,36.535,118
478,267,57.984,267,38.109,118
479,267,60.7,267,40.39,118
480,267,58.498,267,42.481,118
481,267,56.027,267,43.646,118
482,267,56.002,267,43.907,118
483,267,46.069,267,43.54,118
484,267,57.984,267,42.749,118
485,267,46.24,267,41.659,118
486,267,46.24,267,40.458,118
487,267,43.304,267,39.176,118
488,267,51.378,267,38.178,118
489,267,53.091,267,37.957,118
490,267,45.751,267,38.669,118
491,267,47.953,267,39.903,118
492,267,55.537,267,41.006,118
493,267,48.442,267,41.475,118
494,267,45.996,267,41.355,118
495,267,41.592,267,40.777,118
496,267,36.454,267,39.925,118
497,267,41.592,267,38.869,118
498,267,48.858,267,37.756,118
499,267,48.442,267,36.643,118
500,267,59.696,267,36.27,118
501,267,71.44,267,37.71,118
502,267,77.556,267,41.445,118
503,267,80.737,267,46.32,118
504,267,73.887,267,50.861,118
505,267,81.716,267,53.775,118
506,267,83.673,267,55.036,118
507,267,67.281,267,55.209,118
508,267,71.88,267,54.6,118
509,267,67.403,267,53.47,118
510,267,67.281,267,52.091,118
511,267,75.844,267,50.617,118
512,267,85.875,267,50.15,118
513,267,104.713,267,52.275,118
514,267,115.478,267,57.706,118
515,267,117.925,267,64.78,118
516,267,117.436,267,71.361,118
517,267,107.649,267,75.577,118
518,267,105.447,267,77.359,118
519,267,101.288,267,77.644,118
520,267,98.597,267,76.778,118
521,267,93.215,267,75.146,118
522,267,86.119,267,73.149,118
523,267,85.875,267,70.911,118
524,267,96.15,267,69.133,118
525,267,91.502,267,68.741,118
526,267,105.937,267,70.042,118
527,267,103.49,267,72.288,118
528,267,104.469,267,74.286,118
529,267,107.16,267,75.117,118
530,267,96.64,267,74.872,118
531,267,92.725,267,73.784,118
532,267,87.416,267,72.198,118
533,267,80.223,267,70.237,118
534,267,72.663,267,68.178,118
535,267,81.495,267,66.026,118
536,267,81.275,267,64.277,118
537,267,88.175,267,63.591,118
538,267,90.45,267,64.146,118
539,267,86.535,267,65.422,118
540,267,88.101,267,66.531,118
541,267,80.59,267,66.82,118
542,267,80.15,267,66.379,118
543,267,77.116,267,65.317,118
544,267,72.908,267,63.918,118
545,267,68.015,267,62.251,118
546,267,69.678,267,60.531,118
547,267,74.376,267,58.794,118
548,267,84.652,267,57.844,118
549,267,95.172,267,58.834,118
550,267,107.405,267,62.235,118
551,267,106.426,267,66.87,118
552,267,99.086,267,71.158,118
553,267,95.172,267,73.757,118
554,267,94.927,267,74.668,118
555,267,92.774,267,74.426,118
556,267,95.123,267,73.392,118
557,267,92.163,267,71.816,118
558,267,81.96,267,70.007,118
559,267,78.78,267,68.061,118
560,267,95.416,267,66.784,118
561,267,101.778,267,67.295,118
562,267,103.001,267,70.029,118
563,267,107.649,267,73.928,118
564,267,108.383,267,77.499,118
565,267,105.447,267,79.511,118
566,267,97.863,267,79.993,118
567,267,95.906,267,79.422,118
568,267,91.453,267,78.131,118
569,267,86.119,267,76.334,118
570,267,85.875,267,74.343,118
571,267,84.407,267,72.212,118
572,267,86.902,267,70.553,118
573,267,101.631,267,70.197,118
574,267,105.447,267,71.408,118
575,267,103.49,267,73.491,118
576,267,99.576,267,75.349,118
577,267,101.778,267,76.136,118
578,267,89.3,267,75.93,118
579,267,92.481,267,74.95,118
580,267,93.949,267,73.507,118
581,267,79.269,267,71.716,118
582,267,81.716,267,69.828,118
583,267,80.615,267,67.874,118
584,267,88.811,267,66.529,118
585,267,98.108,267,66.733,118
586,267,98.108,267,68.829,118
587,267,95.172,267,71.933,118
588,267,87.587,267,74.766,118
589,267,95.392,267,76.292,118
590,267,90.328,267,76.55,118
591,267,88.077,267,75.909,118
592,267,83.404,267,74.671,118
593,267,85.508,267,73.006,118
594,267,80.492,267,71.186,118
595,267,95.906,267,69.321,118
596,267,104.224,267,68.6,118
597,267,120.616,267,70.739,118
598,267,132.604,267,76.494,118
599,267,137.987,267,84.055,118
600,267,130.402,267,91.083,118
601,267,132.604,267,95.54,118
602,267,128.69,267,97.394,118
603,267,120.372,267,97.521,118
604,267,116.457,267,96.419,118
605,267,110.096,267,94.492,118
606,267,132.311,267,92.181,118
607,267,200.13,267,90.224,118
608,267,309.908,267,94.954,118
609,267,410.875,267,115.846,118
610,267,472.923,267,157.741,118
611,267,508.398,267,209.544,118
612,267,504.973,267,258.208,118
613,267,494.208,267,291.649,118
614,267,473.902,267,308.804,118
615,267,457.999,267,316.84,118
616,267,439.16,267,317.112,118
617,267,413.961,267,312.453,118
618,267,400.26,267,305.029,118
619,267,436.224,267,296.047,118
620,267,478.844,267,290.298,118
621,267,524.228,267,294.328,118
622,267,537.88,267,310.81,118
623,267,545.097,267,333.767,118
624,267,535.8,267,354.815,118
625,267,514.026,267,366.963,118
626,267,501.548,267,370.336,118
627,267,472.923,267,367.79,118
628,267,453.595,267,361.143,118
629,267,428.885,267,351.655,118
630,267,423.013,267,341.057,118
631,267,479.773,267,330.06,118
632,267,561.286,267,325.373,118
633,267,653.796,267,336.61,118
634,267,697.323,267,367.963,118
635,267,718.315,267,409.432,118
636,267,700.43,267,447.988,118
637,267,681.224,267,472.329,118
638,267,656.906,267,482.131,118
639,267,635.865,267,482.837,118
640,267,605.038,267,476.675,118
641,267,564.914,267,465.921,118
642,267,554.883,267,453.041,118
643,267,567.606,267,438.78,118
644,267,610.91,267,427.813,118
645,267,644.844,267,426.41,118
646,267,657.884,267,436.712,118
647,267,655.682,267,453.461,118
648,267,634.397,267,468.511,118
649,267,619.962,267,475.491,118
650,267,589.869,267,474.77,118
651,267,572.009,267,468.289,118
652,267,544.118,267,458.357,118
653,267,515.249,267,445.87,118
654,267,497.389,267,432.655,118
655,267,520.387,267,418.88,118
656,267,554.639,267,408.615,118
657,267,587.056,267,407.436,118
658,267,608.219,267,417.199,118
659,267,606.751,267,432.967,118
660,267,591.337,267,447.22,118
661,267,577.147,267,454.051,118
662,267,549.99,267,453.856,118
663,267,525.769,267,448.404,118
664,267,506.686,267,439.673,118
665,267,480.752,267,428.53,118
666,267,483.933,267,416.643,118
667,267,550.235,267,404.55,118
668,267,638.703,267,399.204,118
669,267,730.009,267,410.616,118
670,267,776.543,267,443.112,118
671,267,796.116,267,486.217,118
672,267,800.03,267,526.251,118
673,267,765.289,267,551.384,118
674,267,737.643,267,561.312,118
675,267,722.474,267,561.66,118
676,267,676.723,267,554.808,118
677,267,651.523,267,543.115,118
678,267,639.78,267,529.189,118
679,267,697.274,267,514.188,118
680,267,802.232,267,506.66,118
681,267,913.111,267,518.719,118
682,267,968.501,267,555.522,118
683,267,982.055,267,604.875,118
684,267,968.404,267,650.551,118
685,267,941.198,267,678.654,118
686,267,913.796,267,688.991,118
687,267,874.161,267,687.925,118
688,267,827.921,267,678.473,118
689,267,787.797,267,663.336,118
690,267,781.192,267,645.683,118
691,267,823.224,267,626.608,118
692,267,911.132,267,614.516,118
693,267,1006.35,267,621.119,118
694,267,1054.496,267,651.041,118
695,267,1056.064,267,693.127,118
696,267,1039.746,267,731.793,118
697,267,1006.521,267,754.088,118
698,267,973.982,267,760.224,118
699,267,930.433,267,755.075,118
700,267,890.553,267,742.454,118
701,267,843.09,267,724.619,118
702,267,854.833,267,704.753,118
703,267,959.302,267,684.216,118
704,267,1133.009,267,676.203,118
705,267,1310.807,267,699.697,118
706,267,1404.824,267,763.065,118
707,267,1435.039,267,846.376,118
708,267,1421.436,267,923.839,118
709,267,1381.899,267,973.002,118
710,267,1335.341,267,993.155,118
711,267,1273.932,267,995.251,118
712,267,1213.991,267,983.618,118
713,267,1157.964,267,962.815,118
714,267,1146.955,267,937.703,118
715,267,1222.798,267,910.218,118
716,267,1362.816,267,893.41,118
717,267,1504.889,267,905.48,118
718,267,1578.995,267,953.772,118
719,267,1594.923,267,1020.84,118
720,267,1569.723,267,1082.55,118
721,267,1515.042,267,1118.707,118
722,267,1462.881,267,1129.496,118
723,267,1393.325,267,1123.318,118
724,267,1336.809,267,1105.218,118
725,267,1266.837,267,1078.87,118
726,267,1282.984,267,1049.183,118
727,267,1443.964,267,1018.347,118
728,267,1707.808,267,1006.512,118
729,267,1977.516,267,1042.652,118
730,267,2125.908,267,1139.574,118
731,267,2166.518,267,1266.881,118
732,267,2149.781,267,1385.27,118
733,267,2089.275,267,1460.495,118
734,267,2019.722,267,1491.454,118
735,267,1930.644,267,1494.898,118
736,267,1836.033,267,1477.396,118
737,267,1755.173,267,1445.919,118
738,267,1710.89,267,1407.863,118
739,267,1789.156,267,1365.858,118
740,267,1954.476,267,1336.735,118
741,267,2120.051,267,1343.584,118
742,267,2195.117,267,1395.124,118
743,267,2202.897,267,1470.392,118
744,267,2159.859,267,1539.069,118
745,267,2083.063,267,1576.461,118
746,267,2006.828,267,1583.332,118
747,267,1920.342,267,1568.391,118
748,267,1831.409,267,1539.486,118
749,267,1743.601,267,1500.646,118
750,267,1722.218,267,1458.283,118
751,267,1800.91,267,1413.715,118
752,267,1961.836,267,1383.3,118
753,267,2130.184,267,1389.744,118
754,267,2213.309,267,1441.48,118
755,267,2220.957,267,1517.288,118
756,267,2177.11,267,1586.636,118
757,267,2114.064,267,1624.651,118
758,267,2037.851,267,1632.139,118
759,267,1950.068,267,1618.232,118
760,267,1866.419,267,1590.009,118
761,267,1782.621,267,1551.622,118
762,267,1736.286,267,1509.515,118
763,267,1788.74,267,1464.773,118
764,267,1913.203,267,1431.099,118
765,267,2041.533,267,1427.154,118
766,267,2091.45,267,1459.206,118
767,267,2075.117,267,1511.005,118
768,267,2038.218,267,1557.669,118
769,267,1968.49,267,1579.679,118
770,267,1896.854,267,1578.442,118
771,267,1825.659,267,1559.699,118
772,267,1747.352,267,1530.106,118
773,267,1664.381,267,1492.495,118
774,267,1625.113,267,1452.443,118
775,267,1667.512,267,1410.419,118
776,267,1770.166,267,1378.003,118
777,267,1862.617,267,1370.924,118
778,267,1901.938,267,1394.149,118
779,267,1894.114,267,1434.246,118
780,267,1859.74,267,1470.073,118
781,267,1801.634,267,1485.334,118
782,267,1738.781,267,1481.492,118
783,267,1666.118,267,1462.756,118
784,267,1601.773,267,1435.107,118
785,267,1537.112,267,1400.728,118
786,267,1511.53,267,1364.477,118
787,267,1591.693,267,1326.972,118
788,267,1733.539,267,1301.661,118
789,267,1885.911,267,1307.364,118
790,267,1952.424,267,1351.047,118
791,267,1955.339,267,1414.85,118
792,267,1934.409,267,1473.183,118
793,267,1870.236,267,1505.181,118
794,267,1814.552,267,1511.401,118
795,267,1743.846,267,1499.195,118
796,267,1671.207,267,1475.102,118
797,267,1600.745,267,1442.516,118
798,267,1586.629,267,1406.825,118
799,267,1696.318,267,1369.412,118
800,267,1892.72,267,1346.533,118
801,267,2071.662,267,1361.093,118
802,267,2165.121,267,1422.182,118
803,267,2181.807,267,1507.401,118
804,267,2153.696,267,1585.787,118
805,267,2085.525,267,1631.497,118
806,267,2018.731,267,1644.789,118
807,267,1941.61,267,1636.27,118
808,267,1857.636,267,1612.455,118
809,267,1778.636,267,1577.986,118
810,267,1760.213,267,1539.189,118
811,267,1853.917,267,1497.868,118
812,267,2045.998,267,1471.265,118
813,267,2238.641,267,1483.463,118
814,267,2330.167,267,1543.831,118
815,267,2346.511,267,1629.392,118
816,267,2304.576,267,1707.862,118
817,267,2238.69,267,1752.537,118
818,267,2165.202,267,1763.949,118
819,267,2078.978,267,1752.604,118
820,267,2000,267,1725.599,118
821,267,1906.039,267,1687.599,118
822,267,1872.095,267,1645.309,118
823,267,1957.848,267,1600.322,118
824,267,2128.619,267,1569.34,118
825,267,2299.634,267,1575.505,118
826,267,2381.839,267,1627.407,118
827,267,2390.622,267,1703.611,118
828,267,2344.578,267,1773.143,118
829,267,2275.144,267,1810.826,118
830,267,2195.547,267,1817.586,118
831,267,2114.754,267,1802.519,118
832,267,2029.63,267,1772.93,118
833,267,1933.94,267,1732.973,118
834,267,1891.793,267,1689.255,118
835,267,1970.166,267,1642.952,118
836,267,2111.152,267,1609.245,118
837,267,2250.483,267,1608.99,118
838,267,2322.204,267,1649.482,118
839,267,2315.17,267,1712.014,118
840,267,2275.829,267,1768.655,118
841,267,2209.622,267,1797.167,118
842,267,2129.997,267,1798.531,118
843,267,2048.64,267,1779.943,118
844,267,1966.445,267,1748.992,118
845,267,1877.698,267,1708.999,118
846,267,1849.474,267,1666.074,118
847,267,1933.26,267,1621.203,118
848,267,2103.854,267,1590.27,118
849,267,2263.792,267,1595.373,118
850,267,2343.795,267,1644.599,118
851,267,2351.11,267,1717.312,118
852,267,2313.237,267,1783.651,118
853,267,2244.244,267,1819.396,118
854,267,2175.598,267,1825.464,118
855,267,2090.958,267,1810.495,118
856,267,2002.271,267,1781.569,118
857,267,1927.999,267,1742.644,118
858,267,1893.366,267,1700.105,118
859,267,1960.563,267,1655.131,118
860,267,2114.331,267,1623.105,118
861,267,2267.271,267,1625.268,118
862,267,2339.171,267,1669.222,118
863,267,2335.941,267,1735.6,118
864,267,2296.307,267,1795.89,118
865,267,2233.479,267,1827.202,118
866,267,2158.589,267,1830.662,118
867,267,2073.864,267,1813.993,118
868,267,1992.547,267,1784.246,118
869,267,1910.213,267,1745.029,118
870,267,1893.894,267,1702.549,118
871,267,2014.29,267,1658.29,118
872,267,2243.314,267,1631.495,118
873,267,2463.958,267,1649.337,118
874,267,2583.442,267,1722.622,118
875,267,2608.539,267,1824.626,118
876,267,2574.898,267,1918.519,118
877,267,2507.231,267,1973.507,118
878,267,2427.668,267,1989.835,118
879,267,2330.559,267,1980.234,118
880,267,2234.996,267,1952.382,118
881,267,2138.902,267,1911.836,118
882,267,2108.067,267,1866.096,118
883,267,2226.628,267,1817.309,118
884,267,2448.288,267,1785.716,118
885,267,2658.889,267,1799.572,118
886,267,2776.521,267,1869.841,118
887,267,2791.861,267,1969.641,118
888,267,2743.291,267,2061.124,118
889,267,2666.077,267,2113.022,118
890,267,2576.425,267,2125.965,118
891,267,2477.657,267,2111.471,118
892,267,2373.474,267,2078.96,118
893,267,2270.031,267,2033.753,118
894,267,2223.937,267,1983.686,118
895,267,2244.415,267,1929.927,118
896,267,2339.851,267,1886.474,118
897,267,2442.517,267,1871.975,118
898,267,2481.097,267,1891.951,118
