"SP","SegNum_modflow","depletion_m3d_modflow","SegNum_ADF","depletion_m3d_ADF","WellNum"
438,267,4.893,0,0,118
439,267,12.233,267,0.103,118
440,267,29.359,267,1.234,118
441,267,41.592,267,4.805,118
442,267,56.761,267,11.565,118
443,267,59.696,267,19.804,118
444,267,57.25,267,27.565,118
445,267,57.984,267,33.003,118
446,267,60.675,267,35.922,118
447,267,53.58,267,37.477,118
448,267,53.825,267,37.829,118
449,267,51.867,267,37.429,118
450,267,49.176,267,36.585,118
451,267,56.516,267,35.48,118
452,267,54.314,267,34.651,118
453,267,58.962,267,34.812,118
454,267,62.143,267,36.237,118
455,267,62.388,267,38.337,118
456,267,52.112,267,40.237,118
457,267,55.048,267,41.23,118
458,267,53.091,267,41.346,118
459,267,55.293,267,40.829,118
460,267,50.399,267,39.918,118
461,267,47.953,267,38.724,118
462,267,50.399,267,37.439,118
463,267,50.399,267,36.1,118
464,267,57.739,267,35.218,118
465,267,57.984,267,35.5,118
466,267,59.941,267,37.216,118
467,267,58.473,267,39.69,118
468,267,55.293,267,41.965,118
469,267,53.335,267,43.255,118
470,267,58.228,267,43.575,118
471,267,50.644,267,43.229,118
472,267,48.442,267,42.43,118
473,267,48.442,267,41.312,118
474,267,43.696,267,40.075,118
475,267,51.036,267,38.764,118
476,267,55.684,267,37.885,118
477,267,55.415,267,38.135,118
478,267,57.984,267,39.778,118
479,267,60.7,267,42.159,118
480,267,58.498,267,44.341,118
481,267,56.027,267,45.558,118
482,267,56.002,267,45.83,118
483,267,46.069,267,45.447,118
484,267,57.984,267,44.621,118
485,267,46.24,267,43.484,118
486,267,46.24,267,42.23,118
487,267,43.304,267,40.891,118
488,267,51.378,267,39.85,118
489,267,53.091,267,39.619,118
490,267,45.751,267,40.363,118
491,267,47.953,267,41.651,118
492,267,55.537,267,42.802,118
493,267,48.442,267,43.291,118
494,267,45.996,267,43.166,118
495,267,41.592,267,42.562,118
496,267,36.454,267,41.674,118
497,267,41.592,267,40.571,118
498,267,48.858,267,39.409,118
499,267,48.442,267,38.248,118
500,267,59.696,267,37.858,118
501,267,71.44,267,39.362,118
502,267,77.556,267,43.26,118
503,267,80.737,267,48.349,118
504,267,73.887,267,53.088,118
505,267,81.716,267,56.13,118
506,267,83.673,267,57.446,118
507,267,67.281,267,57.627,118
508,267,71.88,267,56.991,118
509,267,67.403,267,55.812,118
510,267,67.281,267,54.373,118
511,267,75.844,267,52.834,118
512,267,85.875,267,52.346,118
513,267,104.713,267,54.564,118
514,267,115.478,267,60.234,118
515,267,117.925,267,67.617,118
516,267,117.436,267,74.486,118
517,267,107.649,267,78.886,118
518,267,105.447,267,80.747,118
519,267,101.288,267,81.045,118
520,267,98.597,267,80.14,118
521,267,93.215,267,78.437,118
522,267,86.119,267,76.353,118
523,267,85.875,267,74.017,118
524,267,96.15,267,72.16,118
525,267,91.502,267,71.751,118
526,267,105.937,267,73.109,118
527,267,103.49,267,75.454,118
528,267,104.469,267,77.539,118
529,267,107.16,267,78.407,118
530,267,96.64,267,78.15,118
531,267,92.725,267,77.015,118
532,267,87.416,267,75.359,118
533,267,80.223,267,73.313,118
534,267,72.663,267,71.164,118
535,267,81.495,267,68.918,118
536,267,81.275,267,67.092,118
537,267,88.175,267,66.375,118
538,267,90.45,267,66.955,118
539,267,86.535,267,68.286,118
540,267,88.101,267,69.444,118
541,267,80.59,267,69.747,118
542,267,80.15,267,69.286,118
543,267,77.116,267,68.178,118
544,267,72.908,267,66.717,118
545,267,68.015,267,64.977,118
546,267,69.678,267,63.182,118
547,267,74.376,267,61.369,118
548,267,84.652,267,60.377,118
549,267,95.172,267,61.41,118
550,267,107.405,267,64.96,118
551,267,106.426,267,69.798,118
552,267,99.086,267,74.274,118
553,267,95.172,267,76.987,118
554,267,94.927,267,77.938,118
555,267,92.774,267,77.685,118
556,267,95.123,267,76.606,118
557,267,92.163,267,74.961,118
558,267,81.96,267,73.073,118
559,267,78.78,267,71.042,118
560,267,95.416,267,69.708,118
561,267,101.778,267,70.242,118
562,267,103.001,267,73.095,118
563,267,107.649,267,77.165,118
564,267,108.383,267,80.893,118
565,267,105.447,267,82.993,118
566,267,97.863,267,83.497,118
567,267,95.906,267,82.9,118
568,267,91.453,267,81.553,118
569,267,86.119,267,79.677,118
570,267,85.875,267,77.599,118
571,267,84.407,267,75.374,118
572,267,86.902,267,73.643,118
573,267,101.631,267,73.271,118
574,267,105.447,267,74.535,118
575,267,103.49,267,76.709,118
576,267,99.576,267,78.648,118
577,267,101.778,267,79.47,118
578,267,89.3,267,79.255,118
579,267,92.481,267,78.232,118
580,267,93.949,267,76.726,118
581,267,79.269,267,74.856,118
582,267,81.716,267,72.886,118
583,267,80.615,267,70.847,118
584,267,88.811,267,69.442,118
585,267,98.108,267,69.656,118
586,267,98.108,267,71.843,118
587,267,95.172,267,75.083,118
588,267,87.587,267,78.04,118
589,267,95.392,267,79.633,118
590,267,90.328,267,79.902,118
591,267,88.077,267,79.233,118
